number	korean	notes
701	베트남
702	벽
703	변하다
704	변호사
705	별
706	별로
707	병
708	병
709	병문안
710	병원
711	보내다
712	보다
713	보다
714	보라색
715	보이다
716	보이다
717	보통
718	복습	예습
719	복잡하다	간단하다
720	볶다
721	볶음밥
722	볼펜
723	봄	가을
724	봉투
725	뵙다	보다
726	부끄럽다
727	부드럽다	거칠다
728	부럽다
729	부르다
730	부르다
731	부모님
732	부부
733	부분
734	부산	대구
735	부엌
736	부인	남편
737	부자
738	부장
739	부족
740	부지런하다	게으르다
741	부치다
742	부탁
743	북쪽	남쪽
744	분
745	분
746	분명하다
747	분식
748	분위기
749	분홍색
750	불
751	불고기
752	불다
753	불쌍하다
754	불안	안심
755	불편	편안
756	붉다
757	붙다	떨어지다
758	붙이다
759	블라우스
760	비
761	비교
762	비누
763	비다
764	비디오
765	비밀
766	비빔밥
767	비슷하다	다르다
768	비싸다	싸다
769	비행기
770	빌딩
771	빌리다
772	빠르다	느리다
773	빠지다
774	빨간색	파란색
775	빨갛다	파랗다
776	빨다
777	빨래
778	빨리	천천히
779	빵
780	빵집
781	빼다	넣다
782	뽑다
783	사
784	사거리
785	사계절
786	사고
787	사과
788	사귀다
789	사다	팔다
790	사람
791	사랑
792	사무실
793	사실
794	사십
795	사업
796	사용
797	사월
798	사이
799	사이다
800	사이즈
