number,check,korean,english,example,translation
1501,,주황색,orange color,색깔,color
1502,,죽다,die,사람이 죽다,a person dies
1503,,준비,ready,출근 준비,getting ready for work
1504,,줄,a rope,줄을 감다,wrap a rope
1505,,줄다,shrink,크기가 줄다,decrease in size
1506,,줄이다,reduce,소리를 줄이다,turn down the sound
1507,,줍다,"pick up, gather",쓰레기를 줍다,pick up trash
1508,,중,in the middle of,회의 중,in the middle of a meeting
1509,,중간,middle,집과 학교의 중간,between home and school
1510,,중국,China,나라,country
1511,,중국집,Chinese restaurant,중국집에 주문하다,order at a Chinese restaurant
1512,,중심,center,서울의 중심,center of Seoul
1513,,중앙,central,무대 중앙,stage center
1514,,중요,importance,중요 자료,important information
1515,,중학교,middle school,중학교에 입학하다,enter middle school
1516,,중학생,middle schooler,중학생이 되다,become a middle school student
1517,,즐거워하다,have fun,매우 즐거워하다,be very happy
1518,,즐겁다,fun,마음이 즐겁다,feel happy
1519,,즐기다,enjoy,휴가를 즐겁다,enjoy your vacation
1520,,지각,late,지각을 하다,be late
1521,,지갑,wallet,지갑에 넣다,put in wallet
1522,,지금,now,지금부터,from now on
1523,,지나가다,pass by,시간이 지나가다,time goes by
1524,,지나다,pass,시간이 지나다,time passes
1525,,지난달,last month,시간,hour
1526,,지난번,last time,시간,hour
1527,,지난주,last week,시간,hour
1528,,지난해,last year,시간,hour
1529,,지내다,stay,잘 지내다,have a good time
1530,,지다,lose,경기에서 지다,lose the game
1531,,지도,map,지도를 보다,look at the map
1532,,지루하다,bored,수업이 지루하다,class is boring
1533,,지르다,yell,소리를 지르다,give a shout
1534,,지방,region,남쪽 지방,southern region
1535,,지우개,eraser,지우개로 지우다,erase with eraser
1536,,지우다,delete,지우개로 지우다,erase with eraser
1537,,지키다,protect,나라를 지키다,protect the country
1538,,지하,basement,지하로 내려가다,go to the basement
1539,,지하도,underpass,지하도를 건너다,cross the underpass
1540,,지하철,subway,지하철을 타다,take the subway
1541,,지하철역,subway station,지하철역에 도착하다,arrive at the subway station
1542,,직업,job,직업을 구하다,find a job
1543,,직원,staff,직원을 모집하다,recruit staff
1544,,직장,workplace,직장에 다니다,go to work
1545,,직접,directly,직접 만나다,meet in person
1546,,진짜,really,진짜 괜찮다,be really okay
1547,,진하다,"thick, dense",안개가 진하다,the fog is thick
1548,,질문,question,질문에 답하다,answer a question
1549,,짐,"luggage, cargo",짐을 싸다,pack up
1550,,집,house,집에 살다,live at home
1551,,집들이,housewarming,집들이에 초대하다,invite to a housewarming party
1552,,집안일,housework,집안일을 보다,do housework
1553,,짓다,build,집을 짓다,build a house
1554,,짜다,salty,맛이 짜다,it's salty
1555,,짜증,annoyance,짜증을 내다,get annoyed
1556,,짝,pair,짝을 맞추다,make a pair
1557,,짧다,short,다리가 짧다,have short legs
1558,,짬뽕,Champong (food),음식,food
1559,,쪽,"direction, way",방향,direction
1560,,찌개,stew,찌개를 끓이다,boil stew
1561,,찌다,gain,살이 찌다,gain weight
1562,,찌다,steam,감자를 찌다,steam potatoes
1563,,찍다,"set, stamp",도장을 찍다,stamp a seal
1564,,차,car,자동차,Car
1565,,차,tea,차를 마시다,drink tea
1566,,차갑다,cold,물이 차갑다,the water is cold
1567,,차다,"be full, be filled",공간이 차다,space is full
1568,,차다,kick,공을 차다,kick a ball
1569,,차다,wear (watch),시계를 차다,wear a watch
1570,,차다,cold,바람이 차다,the wind is cold
1571,,차례,"order, turn",차례 지키다,take turns
1572,,착하다,kind,마음이 착하다,have a good heart
1573,,찬물,cold water,찬물을 마시다,drink cold water
1574,,참,very,참 좋다,It's really good
1575,,참다,suppress,기침을 참다,hold back a cough
1576,,참외,melon,과일,fruit
1577,,창문,window,창문을 열다,open a window
1578,,찾다,find,지갑을 찾다,look for wallet
1579,,찾아가다,to go to,교실로 찾아가다,go to class
1580,,찾아보다,to look for,수첩을 찾아보다,look for notebook
1581,,찾아오다,come to,손님이 찾아오다,a guest comes
1582,,채소,vegetable,채소를 먹다,eat vegetables
1583,,책,book,책을 읽다,read book
1584,,책상,desk,가구,furniture
1585,,책장,bookshelf,가구,furniture
1586,,처음,first,처음 시작하다,start for the first time
1587,,천,thousand,숫자,number
1588,,천만,ten million,숫자,number
1589,,천천히,slowly,천천히 가다,go slowly
1590,,첫,first,첫 만남,first meet
1591,,첫날,first day,새해 첫날,first day of the new year
1592,,첫째,first,첫째 시간,first time
1593,,청년,youth,젊은 청년,young man
1594,,청바지,blue jeans,청바지를 입다,wear jeans
1595,,청소,cleaning,화장실 청소,toilet cleaning
1596,,청소년,teenager,청소년 시절,during adolescence
1597,,체육관,gym,실내 체육관,indoor gym
1598,,체크무늬,checkered (clothes),체크무늬 남방,checkered pattern
1599,,쳐다보다,look at,하늘을 쳐다보다,look up at the sky
1600,,초,beginning,초기,early
