number,check,korean,hanja,japanese,english,example,translation
901,,속도,速度,速度,speed,속도가 빠르다,the speed is fast
902,,속옷,,,underwear,속옷을 입다,wear underwear
903,,손,,,hand,신체,body
904,,손가락,,,finger,신체,body
905,,손녀,孫女,孫娘,granddaughter,손녀를 돌보다,take care of granddaughter
906,,손님,,,guest,손님이 없다,there are no guests
907,,손바닥,,,palm,신체,body
908,,손수건,手巾,ハンカチ,handkerchief,손수건으로 닦다,clean with a handkerchief
909,,송편,,,songpyeon (cake),음식,food
910,,쇼핑,,,shopping,쇼핑을 가다,go shopping
911,,수,數,数,number,숫자,number
912,,수건,手巾,手巾,towel,수건으로 닦다,wipe with a towel
913,,수고,受苦,受苦,hard work,수고를 하다,work hard
914,,수박,,,watermelon,수박을 먹다,eat watermelon
915,,수술,手術,手術,surgery,수술을 받다,have surgery
916,,수업,授業,授業,lesson,수업을 받다,take classes
917,,수영,水泳,水泳,swimming,수영을 배우다,learn to swim
918,,수영복,水泳服,水着,swimsuit,수영복을 입다,wear a swimsuit
919,,수영장,水泳場,水泳場,swimming pool,수영장에 다니다,go to the swimming pool
920,,수요일,水曜日,水曜日,Wednesday,요일,day of the week
921,,수저,匙箸,匙,spoon,수저를 놓다,place spoon
922,,수첩,手帖,手帳,notebook,수첩에 쓰다,write in a notebook
923,,숙제,宿題,宿題,homework,숙제를 하다,do homework
924,,순두부찌개,,,tofu stew (food),음식,food
925,,순서,順序,順序,order,순서를 매기다,put in order
926,,숟가락,,,spoon,숟가락을 들다,pick up a spoon
927,,술,酒,酒,alcohol,술을 마시다,drink alcohol
928,,술집,酒,酒,bar,술집에서 술을 마시다,drink at a bar
929,,숫자,數字,数字,number,숫자를 세다,count numbers
930,,쉬다,,,rest,그늘에서 쉬다,rest in the shade
931,,쉬다,,,breathe,숨을 쉬다,breathe
932,,쉰,,,fifty,숫자,number
933,,쉽다,,,easy,문제가 쉽다,the problem is easy
934,,슈퍼마켓,,,supermarket,슈퍼마켓에서 사다,buy at the supermarket
935,,스무,,,twenty,스무 살,20 years old
936,,스물,,,twenty,숫자,number
937,,스스로,,,oneself,나 스스로,by myself
938,,스웨터,,,sweater,스웨터를 입다,wear a sweater
939,,스카프,,,scarf,스카프를 매다,wear a scarf
940,,스케이트,,,skate,스케이트를 신다,wear skates
941,,스키,,,ski,스키를 신다,wear skis
942,,스키장,場,場,ski resort,스키장에서 놀다,play at the ski resort
943,,스타,,,star,인기 스타,popular star
944,,스트레스,,,stress,스트레스를 풀다,relieve stress
945,,스파게티,,,pasta,음식,food
946,,스포츠,,,sports,스포츠 경기,sport event
947,,슬퍼하다,,,sorrow,이별을 슬퍼하다,mourn a breakup
948,,슬프다,,,sad,마음이 슬프다,I feel sad
949,,슬픔,,,sadness,슬픔에 잠기다,drown in sorrow
950,,습관,習慣,習慣,habit,습관을 기르다,develop a habit
951,,시,市,市,city,서울시,Seoul City
952,,시,時,時,hour,몇 시/태어난 시,What time/time of birth
953,,시간,時間,時間,time,시간이 걸리다,take time
954,,시간표,時間表,時間表,schedule,시간표를 짜다,make a timetable
955,,시계,時計,時計,watch,시간,hour
956,,시골,,,countryside,시골에 살다,live in the countryside
957,,시끄럽다,,,noisy,소리가 시끄럽다,the sound is loud
958,,시내,市內,市内,downtown,시외,out of town
959,,시다,,,"sour, acidic",맛이 시다,the taste is sour
960,,시민,市民,市民,citizen,시민을 설득하다,persuade citizens
961,,시어머니,,,mother-in-law,시어머니를 모시다,take care of one's mother-in-law
962,,시원하다,,,cool,공기가 시원하다,the air is cool
963,,시월,十月,十月,October,달(월),month
964,,시작,始作,始作,start,끝,end
965,,시장,市場,市場,market,시장에 가다,go to the market
966,,시청,市廳,市庁,city hall,시청 공무원,city hall official
967,,시키다,,,ask someone to,일을 시키다,make someone do work
968,,시험,試驗,試験,exam,시험을 보다,take a test
969,,식구,食口,食口,family member,가족,family
970,,식다,,,"cool off, get cold",국이 식다,the soup gets cold
971,,식당,食堂,食堂,restaurant,식당에서 식사하다,eat at a restaurant
972,,식빵,食,食パン,bread,식빵을 먹다,eat bread
973,,식사,食事,食事,meal,식사를 하다,eat a meal
974,,식초,食醋,食酢,vinegar,식초를 넣다,add vinegar
975,,식탁,食卓,食卓,table,식탁을 차리다,set the table
976,,식품,食品,食品,food,식품을 섭취하다,eat food
977,,신다,,,put on,양말을 신다,wear socks
978,,신랑,新郞,新郎,groom,신부,bride
979,,신문,新聞,新聞,newspaper,신문을 읽다,read the newspaper
980,,신발,,,shoes,신발을 신다,wear shoes
981,,신부,新婦,新婦,bride,신랑,groom
982,,신분증,身分證,身分証,ID card,신분증을 확인하다,check identification
983,,신선하다,新鮮,新鮮,fresh,과일이 신선하다,the fruit is fresh
984,,신청,申請,申請,application,신청을 받다,receive applications
985,,신호,信號,信号,signal,신호를 기다리다,wait for a signal
986,,신호등,信號燈,信号機,traffic light,신호등을 기다리다,wait for the traffic light
987,,신혼여행,新婚旅行,新婚旅行,honeymoon,신혼여행을 떠나다,go on honeymoon
988,,싣다,,,load,짐을 싣다,carry a load
989,,실례,失禮,失礼,excuse,실례가 되다,be rude
990,,실수,失手,失手,mistake,실수를 하다,make a mistake
991,,실패,失敗,失敗,failure,성공,success
992,,싫다,,,hate,일이 싫다,I hate the job
993,,싫어하다,,,dislike,몹시 싫어하다,dislike very much
994,,심다,,,plant,나무를 심다,plant trees
995,,심심하다,,,bored,지루하고 심심하다,tired and bored
996,,심하다,,,severe,장난이 심하다,be playful
997,,십,十,十,ten,숫자,number
998,,십만,十萬,十万,hundred thousand,숫자,number
999,,십이월,十二月,十二月,December,달(월),month
1000,,십일월,十一月,十一月,November,달(월),month
