number	korean	example_ko	example_en
100	계절	봄이 좋은 계절이에요	spring is nice season
101	계획	여행 계획을 세워요	make travel plans
102	고개	고개를 끄덕여요	nod my head
103	고기	고기를 많이 먹어요	eat a lot of meat
104	고등학교	고등학교를 졸업했어요	graduated from high school
105	고등학생	우리 동생은 고등학생이에요	my sibling is high school student
106	고르다	선물을 골라 주세요	pick a gift please
107	고맙다	도와주셔서 고마워요	thank you for helping
108	고모	고모가 서울에 살아요	my aunt lives in Seoul
109	고민	요즘 고민이 많아요	have many worries lately
110	고속버스	고속버스를 탔어요	took express bus
111	고양이	고양이가 참 예뻐요	cat is really pretty
112	고장	컴퓨터가 고장 났어요	computer broke down
113	고추장	고추장을 좀 주세요	give me red pepper paste
114	고치다	신발을 고쳐요	fix the shoes
115	고프다	배가 너무 고파요	stomach is too hungry
116	고향	고향이 부산이에요	my hometown is Busan
117	곧	친구가 곧 와요	friend comes soon
118	곳	좋은 곳을 찾아요	find a good place
119	공	공을 던져 주세요	throw the ball please
120	공무원	아버지는 공무원이에요	father is public official
121	공부	매일 한국어를 공부해요	study Korean every day
122	공원	주말에 공원에 가요	go to park on weekend
123	공장	공장에서 일해요	work at factory
124	공짜	오늘은 커피가 공짜예요	today coffee is free
125	공책	새 공책을 샀어요	bought new notebook
126	공항	공항까지 데려다 주세요	take me to airport
127	공휴일	내일은 공휴일이에요	tomorrow is holiday
128	과거	과거를 생각해요	think about the past
129	과일	과일을 많이 먹어요	eat a lot of fruit
130	과자	과자를 좀 주세요	give me some sweets
131	관계	좋은 관계를 유지해요	maintain good relationship
132	관광	제주도로 관광 가요	go to Jeju for tourism
133	관광객	관광객이 정말 많아요	tourists are really many
134	관광지	유명한 관광지예요	it's famous tourist destination
135	관심	한국어에 관심이 있어요	have interest in Korean
136	광고	텔레비전 광고를 봤어요	watched television advertisement
137	광주	광주에 가 봤어요	have been to Gwangju
138	괜찮다	몸이 괜찮아요	body is okay
139	괴로워하다	많이 괴로워해요	suffer a lot
140	교과서	교과서를 펴 주세요	open the textbook please
141	교사	우리 엄마는 교사예요	my mom is teacher
142	교수	김 교수님을 만났어요	met professor Kim
143	교실	교실이 너무 더워요	classroom is too hot
144	교육	교육이 중요해요	education is important
145	교통	교통이 편리해요	transportation is convenient
146	교통비	교통비가 비싸요	transportation fee is expensive
147	교통사고	어제 교통사고가 났어요	traffic accident happened yesterday
148	교환	선물을 교환했어요	exchanged gifts
149	교회	일요일에 교회에 가요	go to church on Sunday
150	구	일 더하기 구는	one plus nine is
151	구경	시내를 구경했어요	did sightseeing downtown
152	구두	검은 구두를 신어요	wear black shoes
153	구름	구름이 많이 꼈어요	clouds gathered a lot
154	구십	나이가 구십이에요	age is ninety
155	구월	구월에 개학해요	school starts in September
156	국	국이 맛있어요	soup is delicious
157	국내	국내 여행을 가요	go on domestic travel
158	국수	점심에 국수를 먹어요	eat noodles for lunch
159	국적	국적이 어디예요	where is your nationality
160	국제	국제 회의가 있어요	there is international meeting
161	군인	오빠는 군인이에요	my brother is soldier
162	굳다	땅이 꽁꽁 굳었어요	ground froze hard
163	굵다	굵은 줄을 주세요	give me thick rope
164	굽다	빵을 굽고 있어요	baking bread
165	궁금하다	정말 궁금해요	really curious
166	권	책 두 권을 샀어요	bought two volumes of books
167	귀	귀가 잘 안 들려요	can't hear well
168	귀걸이	예쁜 귀걸이를 샀어요	bought pretty earrings
169	귀여워하다	강아지를 귀여워해요	adore the puppy
170	귀엽다	귀여운 고양이예요	it's cute cat
171	귀찮다	청소가 귀찮아요	cleaning feels annoying
172	규칙	규칙을 지켜 주세요	follow the rules please
173	귤	귤이 달아요	tangerine is sweet
174	그	그 사람을 알아요	know that person
175	그거	그거 주세요	give me that
176	그것	그것이 제 거예요	that is mine
177	그곳	그곳에 가 봤어요	have been to that place
178	그날	그날이 기억나요	remember that day
179	그냥	그냥 집에 있어요	just stay at home
180	그대로	그대로 두세요	leave it as is
181	그동안	그동안 잘 지냈어요	did well in the meantime
182	그때	그때가 좋았어요	that time was good
183	그래	그래, 알겠어요	yes, I understand
184	그래서	바빠서 그래서 못 갔어요	was busy so therefore couldn't go
185	그러나	열심히 했어요. 그러나 실패했어요	tried hard but failed
186	그러니까	피곤해요. 그러니까 쉬어요	I'm tired so rest
187	그러면	그러면 내일 봐요	then see you tomorrow
188	그러므로	비가 와요. 그러므로 우산이 필요해요	it's raining therefore need umbrella
189	그런	그런 일이 있었어요	such thing happened
190	그런데	바빴어요. 그런데 재미있었어요	was busy by the way it was fun
191	그럼	그럼 다음에 봐요	then see you next time
192	그럼	그럼, 좋아요	yes, of course, good
193	그렇다	네, 그래요	yes, that's right
194	그렇지만	비싸요. 그렇지만 좋아요	it's expensive but it's good
195	그릇	그릇을 씻어 주세요	wash the bowl please
196	그리고	커피를 마셔요. 그리고 빵을 먹어요	drink coffee and eat bread
197	그리다	그림을 그려요	draw a picture
198	그림	그림이 정말 예뻐요	picture is really pretty
199	그립다	고향이 그리워요	miss my hometown
