number	korean	example_ko	example_en
1200	오이	오이를 좋아해요	like cucumber
1201	오전	오전에 수업이 있어요	have class in morning
1202	오후	오후에 만나요	meet in afternoon
1203	온도	온도가 높아요	temperature is high
1204	올라가다	계단으로 올라가요	go up stairs
1205	올라오다	산에서 올라와요	come up from mountain
1206	올리다	손을 올려요	raise hand
1207	올림	김철수 올림	sincerely yours Kim Chulsoo
1208	올림픽	올림픽을 봐요	watch Olympic
1209	올해	올해는 바빠요	this year is busy
1210	옳다	생각이 옳아요	thought is right
1211	옷	새 옷을 샀어요	bought new clothes
1212	옷걸이	옷걸이에 걸어요	hang on hanger
1213	옷장	옷장을 열어요	open wardrobe
1214	와	와, 정말 좋아요	wow, really good
1215	와이셔츠	와이셔츠를 입어요	wear dress shirt
1216	완전히	완전히 끝났어요	completely finished
1217	왕	옛날 왕이에요	old king
1218	왜	왜 안 왔어요	why didn't you come
1219	왜냐하면	왜냐하면 바빴어요	because was busy
1220	외국	외국에 살아요	live in foreign country
1221	외국어	외국어를 배워요	learn foreign language
1222	외국인	외국인을 만났어요	met foreigner
1223	외롭다	혼자 있으면 외로워요	lonely when alone
1224	외우다	단어를 외워요	memorize words
1225	외출	외출을 했어요	went on outing
1226	왼손	왼손을 들어요	raise left hand
1227	왼쪽	왼쪽으로 가세요	go to left
1228	요금	요금이 비싸요	fee is expensive
1229	요리	요리를 배워요	learn cooking
1230	요리사	요리사가 됐어요	became chef
1231	요일	무슨 요일이에요	what day of week
1232	요즘	요즘 바빠요	busy nowadays
1233	우동	우동을 먹어요	eat udon
1234	우리	우리 집에 오세요	come to our house
1235	우리나라	우리나라가 좋아요	like our country
1236	우산	우산을 가져가요	take umbrella
1237	우선	우선 밥을 먹어요	eat first
1238	우유	우유를 마셔요	drink milk
1239	우체국	우체국에서 편지를 보내요	send letter at post office
1240	우표	우표를 샀어요	bought stamp
1241	운동	매일 운동을 해요	exercise every day
1242	운동복	운동복을 입어요	wear sportswear
1243	운동장	운동장에서 뛰어요	run on playground
1244	운동화	운동화를 신어요	wear running shoes
1245	운전	운전을 배워요	learn driving
1246	운전사	운전사를 찾아요	look for driver
1247	울다	아기가 울어요	baby cries
1248	울산	울산에 가 봤어요	have been to Ulsan
1249	울음	울음을 그쳐요	stop crying
1250	움직이다	몸을 움직여요	move body
1251	웃다	친구랑 웃어요	laugh with friend
1252	웃음	웃음이 나와요	laughter comes out
1253	원	천 원이에요	one thousand won
1254	원피스	원피스를 샀어요	bought one piece dress
1255	원하다	선물을 원해요	want gift
1256	월	몇 월이에요	what month is it
1257	월급	월급을 받았어요	received salary
1258	월요일	월요일에 출근해요	go to work on Monday
1259	위	책상 위에 놓아요	put on desk
1260	위쪽	위쪽으로 올라가요	go up to topside
1261	위치	위치를 알려 주세요	tell me position please
1262	위험	위험한 곳이에요	it's dangerous place
1263	유리	유리가 깨졌어요	glass broke
1264	유명	유명한 가수예요	it's famous singer
1265	유월	유월에 비가 와요	rain comes in June
1266	유치원	유치원에 다녀요	go to kindergarten
1267	유학	미국으로 유학을 가요	go to USA to study abroad
1268	유학생	유학생을 만났어요	met international student
1269	유행	옷이 유행이에요	clothes are in fashion
1270	육	숫자 육이에요	number six
1271	육교	육교를 건너요	cross overpass
1272	육십	나이가 육십이에요	age is sixty
1273	윷놀이	설날에 윷놀이를 해요	play yut on New Year
1274	은행	은행에서 돈을 찾아요	withdraw money at bank
1275	음	음, 생각해 볼게요	uh, will think about it
1276	음료	음료를 마셔요	drink beverage
1277	음료수	음료수를 샀어요	bought drink
1278	음식	한국 음식을 먹어요	eat Korean food
1279	음식점	음식점에서 밥을 먹어요	eat rice at restaurant
1280	음악	음악을 들어요	listen to music
1281	음악가	유명한 음악가예요	it's famous musician
1282	응	응, 그래요	yes, that's right
1283	의미	무슨 의미예요	what meaning is it
1284	의사	의사를 만났어요	met doctor
1285	의자	의자에 앉아요	sit on chair
1286	이	이가 아파요	tooth hurts
1287	이	이 책이 좋아요	this book is good
1288	이	하나 둘 이예요	one two is two
1289	이거	이거 주세요	give me this
1290	이것	이것이 제 거예요	this is mine
1291	이곳	이곳에 살아요	live in this place
1292	이기다	경기에서 이겼어요	won in match
1293	이날	이날이 기억나요	remember this day
1294	이다	저는 학생이에요	I am student
1295	이따가	이따가 전화할게요	will call later
1296	이때	이때가 중요해요	this time is important
1297	이런	이런 일이 있었어요	such thing happened
1298	이렇다	이렇게 하세요	do like this
1299	이르다	너무 일러요	too early
