number	korean	example_ko	example_en
1700	통화	전화 통화를 했어요	made phone call
1701	퇴근	저녁에 퇴근해요	leave work in evening
1702	퇴원	내일 퇴원해요	discharge from hospital tomorrow
1703	튀기다	감자를 튀겨요	fry potatoes
1704	튀김	튀김을 먹어요	eat fried food
1705	트럭	트럭이 지나가요	truck passes by
1706	특별하다	특별한 날이에요	it's special day
1707	특별히	특별히 좋아해요	like especially
1708	특히	특히 음악을 좋아해요	especially like music
1709	튼튼하다	튼튼한 몸을 만들어요	make strong body
1710	틀다	라디오를 틀어요	turn on radio
1711	틀리다	답이 틀렸어요	answer is wrong
1712	티셔츠	티셔츠를 입어요	wear t-shirt
1713	팀	우리 팀이 이겼어요	our team won
1714	파란색	파란색 옷을 샀어요	bought blue color clothes
1715	파랗다	하늘이 파래요	sky is blue
1716	파티	생일 파티를 해요	have birthday party
1717	팔	팔이 아파요	arm hurts
1718	팔	숫자 팔이에요	number eight
1719	팔다	물건을 팔아요	sell things
1720	팔리다	책이 잘 팔려요	book sells well
1721	팔십	나이가 팔십이에요	age is eighty
1722	팔월	팔월은 더워요	August is hot
1723	펴다	책을 펴요	unfold book
1724	편리	교통이 편리해요	transportation is convenient
1725	편안	마음이 편안해요	heart feels at peace
1726	편의점	편의점에서 물을 샀어요	bought water at convenience store
1727	편지	편지를 썼어요	wrote letter
1728	편찮다	몸이 편찮아요	body is unwell
1729	편하다	의자가 편해요	chair is relaxing
1730	평소	평소에 운동해요	exercise usually
1731	평일	평일에 일해요	work on weekdays
1732	포도	포도를 먹어요	eat grapes
1733	포장	선물을 포장해요	wrap gift
1734	표	표를 샀어요	bought ticket
1735	푸르다	하늘이 푸르러요	sky is green
1736	푹	푹 쉬세요	rest well
1737	풀다	문제를 풀어요	solve problem
1738	풍경	아름다운 풍경을 봤어요	saw beautiful landscape
1739	프라이팬	프라이팬으로 요리해요	cook with frying pan
1740	프랑스	프랑스에 가 봤어요	have been to France
1741	프로그램	프로그램을 봐요	watch program
1742	피	피가 나요	blood comes out
1743	피곤	너무 피곤해요	too tired
1744	피다	꽃이 폈어요	flower bloomed
1745	피아노	피아노를 쳐요	play piano
1746	피우다	꽃을 피워요	bloom flowers
1747	피자	피자를 먹어요	eat pizza
1748	필요	돈이 필요해요	need money
1749	필통	필통을 샀어요	bought pencil case
1750	하나	사과 하나를 먹어요	eat one apple
1751	하늘	하늘이 맑아요	sky is clear
1752	하늘색	하늘색 옷을 샀어요	bought sky blue clothes
1753	하다	운동을 해요	do exercise
1754	-하다	행복해요	be happy
1755	하루	하루 종일 쉬었어요	rested all day long
1756	하숙비	하숙비를 냈어요	paid lodging fee
1757	하숙집	하숙집에 살아요	live in boarding house
1758	하얀색	하얀색 옷을 샀어요	bought white color clothes
1759	하얗다	눈이 하얘요	snow is white
1760	하지만	좋아해요. 하지만 비싸요	like it however it's expensive
1761	학교	학교에 가요	go to school
1762	학기	새 학기가 시작됐어요	new semester started
1763	학년	3학년이에요	third grade
1764	학생	저는 학생이에요	I am student
1765	학생증	학생증을 보여 주세요	show me student ID
1766	학원	학원에 다녀요	go to academy
1767	한	사과 한 개예요	one apple
1768	한가하다	주말이 한가해요	weekend is free
1769	한강	한강을 건너요	cross Han river
1770	한국	한국에 살아요	live in Korea
1771	한글	한글을 배워요	learn Hangul
1772	한두	한두 시간 걸려요	takes one or two hours
1773	한번	한 번만 더 해요	do once more
1774	한복	한복을 입어요	wear Hanbok
1775	한식	한식을 먹어요	eat Korean food
1776	한식집	한식집에 가요	go to Korean restaurant
1777	한옥	한옥에 살아요	live in Hanok house
1778	한잔	커피 한잔 마셔요	drink one cup of coffee
1779	한턱	제가 한턱낼게요	I will buy a treat
1780	할머니	할머니를 뵈었어요	met grandmother
1781	할아버지	할아버지가 오셨어요	grandfather came
1782	할인	할인을 받았어요	received discount
1783	함께	친구랑 함께 가요	go together with friend
1784	항공	항공권을 샀어요	bought airline ticket
1785	항공권	항공권이 비싸요	airline ticket is expensive
1786	항상	항상 행복해요	always happy
1787	해	해가 뜨요	sun rises
1788	해마다	해마다 여행을 가요	travel every year
1789	해외	해외에 살아요	live overseas
1790	해외여행	해외여행을 가요	go on overseas travel
1791	햄버거	햄버거를 먹어요	eat hamburger
1792	햇빛	햇빛이 따뜻해요	sunshine is warm
1793	행동	행동이 좋아요	action is good
1794	행복	행복한 삶을 살아요	live happy life
1795	행사	내일 행사가 있어요	have event tomorrow
1796	허리	허리가 아파요	waist hurts
1797	헤어지다	친구랑 헤어졌어요	broke up with friend
1798	헬스클럽	헬스클럽에 다녀요	go to health club
1799	혀	혀가 아파요	tongue hurts
