1801	현재	現在
1802	형	兄
1803	형제	兄弟
1804	호	號 / 号
1805	호랑이
1806	호수	湖水
1807	호텔	hotel
1808	혹시	或是
1809	혼자
1810	홍차	紅茶
1811	화	火
1812	화가	畫家 / 画家
1813	화나다	火 + 나다
1814	화내다	火 + 내다
1815	화려하다	華麗
1816	화요일	火曜日
1817	화장실	化粧室 / 化粧室
1818	화장품	化粧品 / 化粧品
1819	환영	歡迎 / 歓迎
1820	환자	患者
1821	환전	換錢
1822	활발히	活潑
1823	회	回
1824	회사	會社 / 会社
1825	회사원	會社員 / 会社員
1826	회색	灰色
1827	회원	會員 / 会員
1828	회의	會議 / 会議
1829	횡단보도	橫斷步道 / 横断歩道
1830	후	後
1831	후배	後輩
1832	훌륭하다
1833	훨씬
1834	휴가	休暇
1835	휴게실	休憩室
1836	휴대폰	携帶電話 / 携帯電話
1837	휴일	休日
1838	휴지
1839	휴지통	휴지 + 통
1840	흐르다
1841	흐리다
1842	흔들다
1843	흘리다
1844	희망	希望
1845	흰색
1846	힘
1847	힘들다
