number	korean	example_ko	example_en
700	벗다	신발을 벗어요	take off shoes
701	베트남	베트남에서 왔어요	came from Vietnam
702	벽	벽이 하얘요	wall is white
703	변하다	날씨가 변했어요	weather changed
704	변호사	변호사를 만났어요	met lawyer
705	별	별이 밝아요	star is bright
706	별로	별로 안 좋아해요	not very like it
707	병	병이 났어요	got sick
708	병	물병을 샀어요	bought water bottle
709	병문안	병문안을 갔어요	visited sick person
710	병원	병원에 가요	go to hospital
711	보내다	편지를 보내요	send letter
712	보다	영화를 봐요	watch movie
713	보다	이게 더 좋아요	this is more better
714	보라색	보라색 옷을 샀어요	bought purple clothes
715	보이다	잘 보여요	is seen well
716	보이다	사진을 보여 주세요	show me photo please
717	보통	보통 일찍 일어나요	usually wake up early
718	복습	매일 복습을 해요	do review every day
719	복잡하다	길이 복잡해요	road is complex
720	볶다	김치를 볶아요	fry kimchi
721	볶음밥	볶음밥을 먹어요	eat fried rice
722	볼펜	볼펜으로 써요	write with ballpoint pen
723	봄	봄이 왔어요	spring came
724	봉투	편지를 봉투에 넣어요	put letter in envelope
725	뵙다	선생님을 뵈었어요	met teacher
726	부끄럽다	얼굴이 부끄러워요	face is embarrassed
727	부드럽다	부드러운 빵을 먹어요	eat soft bread
728	부럽다	정말 부러워요	really envy
729	부르다	이름을 불러요	call the name
730	부르다	배가 불러요	stomach is full
731	부모님	부모님을 사랑해요	love my parents
732	부부	행복한 부부예요	happy couple
733	부분	이 부분이 중요해요	this part is important
734	부산	부산에 살아요	live in Busan
735	부엌	부엌에서 요리해요	cook in kitchen
736	부인	사장님 부인을 만났어요	met president's wife
737	부자	부자가 되고 싶어요	want to become rich
738	부장	김 부장님이에요	it's manager Kim
739	부족	돈이 부족해요	money is lacking
740	부지런하다	부지런한 사람이에요	it's diligent person
741	부치다	편지를 부쳤어요	sent the letter
742	부탁	부탁이 있어요	have request
743	북쪽	북쪽으로 가세요	go to north
744	분	손님 두 분이에요	two guests
745	분	5분만 기다리세요	wait just 5 minutes
746	분명하다	분명한 증거가 있어요	there is clear evidence
747	분식	분식을 먹어요	eat bunsik
748	분위기	분위기가 좋아요	atmosphere is good
749	분홍색	분홍색 꽃을 샀어요	bought pink flowers
750	불	불을 켜 주세요	turn on fire please
751	불고기	불고기를 먹어요	eat bulgogi
752	불다	바람이 불어요	wind blows
753	불쌍하다	불쌍한 사람을 도와요	help pitiful person
754	불안	마음이 불안해요	heart feels anxiety
755	불편	몸이 불편해요	body feels discomfort
756	붉다	하늘이 붉어요	sky is red
757	붙다	벽에 붙었어요	stuck to wall
758	붙이다	포스터를 붙여요	paste the poster
759	블라우스	블라우스를 샀어요	bought blouse
760	비	비가 와요	rain comes
761	비교	두 개를 비교해요	compare the two
762	비누	비누로 손을 씻어요	wash hands with soap
763	비다	방이 비었어요	room is empty
764	비디오	비디오를 봤어요	watched video
765	비밀	비밀을 지켜요	keep the secret
766	비빔밥	비빔밥을 먹어요	eat bibimbap
767	비슷하다	모양이 비슷해요	shapes are similar
768	비싸다	가격이 비싸요	price is expensive
769	비행기	비행기를 타요	take airplane
770	빌딩	높은 빌딩이에요	it's tall building
771	빌리다	책을 빌렸어요	borrowed book
772	빠르다	기차가 빨라요	train is fast
773	빠지다	물에 빠졌어요	fell in water
774	빨간색	빨간색 사과를 샀어요	bought red color apple
775	빨갛다	빨간 장미를 좋아해요	like red rose
776	빨다	옷을 빨아요	wash clothes
777	빨래	빨래를 했어요	did laundry
778	빨리	빨리 오세요	hurry come please
779	빵	빵을 먹어요	eat bread
780	빵집	빵집에서 케이크를 샀어요	bought cake at bakery
781	빼다	10에서 5를 빼요	subtract 5 from 10
782	뽑다	이를 뽑았어요	pulled out tooth
783	사	숫자 사예요	number four
784	사거리	사거리에서 만나요	meet at intersection
785	사계절	한국은 사계절이 있어요	Korea has four seasons
786	사고	교통사고가 났어요	traffic accident happened
787	사과	사과를 먹어요	eat apple
788	사귀다	친구를 사귀어요	make friends
789	사다	책을 사요	buy book
790	사람	좋은 사람이에요	it's good person
791	사랑	사랑이 중요해요	love is important
792	사무실	사무실에서 일해요	work at office
793	사실	사실을 말해요	tell the fact
794	사십	나이가 사십이에요	age is forty
795	사업	사업을 시작했어요	started business
796	사용	컴퓨터 사용법을 배워요	learn computer usage
797	사월	사월에 꽃이 펴요	flowers bloom in April
798	사이	친구 사이가 좋아요	relationship between friends is good
799	사이다	사이다를 마셔요	drink cider
