number	korean	example_ko	example_en
1100	어른	어른을 존경해요	respect adults
1101	어리다	동생이 어려요	younger sibling is young
1102	어린아이	어린아이를 돌봐요	look after child
1103	어린이	어린이가 많아요	children are many
1104	어머니	어머니가 요리해요	mother cooks
1105	어머님	선생님 어머님을 뵈었어요	met teacher's mother
1106	어서	어서 오세요	come quickly please
1107	어울리다	친구들과 어울려요	socialize with friends
1108	어제	어제 만났어요	met yesterday
1109	어젯밤	어젯밤에 잠을 못 잤어요	couldn't sleep last night
1110	억	십억 원이에요	one hundred million ten won
1111	언니	언니가 예뻐요	older sister is pretty
1112	언어	외국어를 배워요	learn foreign language
1113	언제	언제 만날까요	when shall we meet
1114	언제나	언제나 행복해요	always happy
1115	얻다	좋은 기회를 얻었어요	got good opportunity
1116	얼굴	얼굴이 예뻐요	face is pretty
1117	얼다	물이 얼었어요	water froze
1118	얼마	얼마예요	how much is it
1119	얼마나	얼마나 걸려요	how much does it take
1120	얼음	얼음을 넣어요	put in ice
1121	엄마	우리 엄마가 좋아요	like my mom
1122	없다	돈이 없어요	have no money
1123	엉덩이	엉덩이가 아파요	butt hurts
1124	에어컨	에어컨을 켜요	turn on air conditioner
1125	엘리베이터	엘리베이터를 타요	take elevator
1126	여권	여권을 잃어버렸어요	lost passport
1127	여기	여기 앉으세요	sit here please
1128	여기저기	여기저기 다녀요	go here and there
1129	여덟	사과 여덟 개예요	eight apples
1130	여동생	여동생이 공부해요	younger sister studies
1131	여든	나이가 여든이에요	age is eighty
1132	여러	여러 나라를 여행했어요	traveled various countries
1133	여러분	여러분 안녕하세요	hello everyone
1134	여름	여름이 더워요	summer is hot
1135	여보세요	여보세요, 김 씨예요	hello, this is Kim
1136	여섯	사과 여섯 개예요	six apples
1137	여성	여성 화장실은 어디예요	where is female restroom
1138	여자	여자 친구가 있어요	have female friend
1139	여쭙다	선생님께 여쭤 봐요	ask teacher
1140	여학생	여학생이 많아요	female students are many
1141	여행	여행을 좋아해요	like travel
1142	여행사	여행사에 전화했어요	called travel agency
1143	여행지	유명한 여행지예요	it's famous travel destination
1144	역	지하철역에서 만나요	meet at subway station
1145	역사	한국 역사를 배워요	learn Korean history
1146	역시	나도 역시 좋아요	I also like it too
1147	연결	인터넷 연결이 안 돼요	internet connection doesn't work
1148	연극	연극을 봤어요	watched theater
1149	연락	전화로 연락해요	contact by phone
1150	연락처	연락처를 알려 주세요	tell me contact please
1151	연말	연말에 바빠요	busy at year-end
1152	연세	연세가 어떻게 되세요	what is your age
1153	연습	매일 연습해요	practice every day
1154	연예인	유명한 연예인을 봤어요	saw famous celebrity
1155	연필	연필로 써요	write with pencil
1156	연휴	연휴에 여행을 가요	travel on holiday
1157	열	숫자 열이에요	number ten
1158	열	열이 나요	have fever
1159	열다	문을 열어요	open door
1160	열리다	가게가 열렸어요	store opened
1161	열쇠	열쇠를 잃어버렸어요	lost key
1162	열심히	열심히 공부해요	study hard
1163	열차	열차를 타요	take train
1164	열흘	열흘 동안 여행해요	travel for ten days
1165	엽서	엽서를 보냈어요	sent postcard
1166	영	점수가 영점이에요	score is zero
1167	영국	영국에 가 봤어요	have been to UK
1168	영수증	영수증을 주세요	give me receipt please
1169	영어	영어를 배워요	learn English
1170	영하	영하 5도예요	sub-zero 5 degrees
1171	영화	영화를 봐요	watch movie
1172	영화관	영화관에서 영화를 봐요	watch movie at cinema
1173	영화배우	영화배우를 만났어요	met movie actor
1174	옆	옆에 앉아요	sit next to
1175	옆집	옆집 사람을 만났어요	met next door person
1176	예	예를 들어 주세요	give me example please
1177	예매	표를 예매했어요	booked ticket
1178	예쁘다	정말 예뻐요	really pretty
1179	예순	나이가 예순이에요	age is sixty
1180	예술	예술을 좋아해요	like art
1181	예습	내일 수업을 예습해요	prepare for tomorrow's lesson
1182	예약	호텔을 예약했어요	made hotel reservation
1183	옛	옛날이 그리워요	miss old times
1184	옛날	옛날에 살았어요	lived long ago
1185	오	숫자 오예요	number five
1186	오늘	오늘 날씨가 좋아요	today's weather is good
1187	오다	친구가 와요	friend comes
1188	오래	오래 기다렸어요	waited for long
1189	오래간만	오래간만에 만났어요	met long time no see
1190	오래되다	집이 오래됐어요	house got old
1191	오랜만	오랜만이에요	it's long time
1192	오랫동안	오랫동안 살았어요	lived for long time
1193	오렌지	오렌지를 먹어요	eat orange
1194	오르다	물가가 올라요	prices increase
1195	오른손	오른손을 들어요	raise right hand
1196	오른쪽	오른쪽으로 가세요	go to right side
1197	오빠	오빠를 만났어요	met older brother
1198	오십	나이가 오십이에요	age is fifty
1199	오월	오월에 가족의 날이에요	May is family day
