number	korean	example_ko	example_en
1300	이름	이름이 뭐예요	what is your name
1301	이마	이마가 넓어요	forehead is wide
1302	이모	이모를 만났어요	met aunt
1303	이미	이미 끝났어요	already finished
1304	이번	이번 주말에 만나요	meet this weekend
1305	이분	이분은 선생님이에요	this person is teacher
1306	이불	이불을 덮어요	cover with quilt
1307	이사	다음 달에 이사해요	move house next month
1308	이삿짐	이삿짐을 쌌어요	packed moving luggage
1309	이상	열 명 이상이에요	ten people or above
1310	이상	뭔가 이상해요	something is strange
1311	이십	나이가 이십이에요	age is twenty
1312	이야기	재미있는 이야기를 들었어요	heard interesting story
1313	이용	인터넷을 이용해요	use internet
1314	이웃	이웃과 친하게 지내요	get along with neighborhood
1315	이월	이월에 눈이 와요	snow comes in February
1316	이유	무슨 이유예요	what reason is it
1317	이전	이전에 살았어요	lived previous time
1318	이제	이제 가야 해요	now must go
1319	이쪽	이쪽으로 오세요	come this way please
1320	이틀	이틀 동안 쉬어요	rest for two days
1321	이해	이해가 안 돼요	don't understand
1322	이후	그 이후로 안 봤어요	haven't seen after that
1323	익다	과일이 익었어요	fruit is ripe
1324	익숙하다	일에 익숙해요	be used to work
1325	인기	인기가 많아요	popularity is high
1326	인도네시아	인도네시아에 가 봤어요	have been to Indonesia
1327	인분	2인분 주세요	give me 2 servings please
1328	인사	아침 인사를 해요	make morning greetings
1329	인삼	인삼차를 마셔요	drink ginseng tea
1330	인정받다	능력을 인정받아요	be recognized for ability
1331	인천	인천 공항에 가요	go to Incheon airport
1332	인터넷	인터넷을 써요	use internet
1333	인형	예쁜 인형을 샀어요	bought pretty doll
1334	일	일이 많아요	have much work
1335	일	숫자 일이에요	number one
1336	일	하루는 24일이에요	one day is 24 hours
1337	일곱	사과 일곱 개예요	seven apples
1338	일기	매일 일기를 써요	write diary every day
1339	일본	일본에 가 봤어요	have been to Japan
1340	일부	일부만 가능해요	only part is possible
1341	일식	일식을 먹어요	eat Japanese food
1342	일식집	일식집에서 먹어요	eat at Japanese restaurant
1343	일어나다	아침 일찍 일어나요	wake up early morning
1344	일어서다	자리에서 일어서요	stand up from seat
1345	일요일	일요일에 쉬어요	rest on Sunday
1346	일월	일월은 추워요	January is cold
1347	일주일	일주일에 한 번 만나요	meet once one week
1348	일찍	일찍 자요	sleep early
1349	일흔	나이가 일흔이에요	age is seventy
1350	읽다	책을 읽어요	read book
1351	잃다	지갑을 잃었어요	lost wallet
1352	잃어버리다	열쇠를 잃어버렸어요	lost key regretfully
1353	입	입을 열어요	open mouth
1354	입구	입구가 어디예요	where is entrance
1355	입다	옷을 입어요	wear clothes
1356	입술	입술이 말라요	lips are dry
1357	입원	병원에 입원했어요	was hospitalized
1358	입장권	입장권을 샀어요	bought admission ticket
1359	입학	대학교에 입학했어요	entered university
1360	입학시험	입학시험을 봤어요	took entrance exam
1361	있다	집에 있어요	be at home
1362	잊다	이름을 잊었어요	forgot name
1363	잊어버리다	약속을 잊어버렸어요	forgot promise regretfully
1364	잎	나뭇잎이 떨어져요	tree leaf falls
1365	자기소개	자기소개를 해요	do self-introduction
1366	자꾸	자꾸 물어봐요	ask repeatedly
1367	자다	밤에 자요	sleep at night
1368	자동차	자동차를 샀어요	bought car
1369	자동판매기	자동판매기에서 음료를 샀어요	bought drink from vending machine
1370	자라다	아이가 자랐어요	child grew up
1371	자랑	아들을 자랑해요	proud of son
1372	자르다	머리를 잘랐어요	cut hair
1373	자리	자리에 앉으세요	sit in seat please
1374	자세히	자세히 말해 주세요	tell me in details please
1375	자식	자식을 사랑해요	love child
1376	자신	자신을 믿어요	trust myself
1377	자연	자연이 아름다워요	nature is beautiful
1378	자유	자유가 중요해요	freedom is important
1379	자장면	자장면을 시켰어요	ordered jajangmyeon
1380	자전거	자전거를 타요	ride bicycle
1381	자주	친구를 자주 만나요	meet friend often
1382	자판기	자판기에서 커피를 샀어요	bought coffee from vending machine
1383	작년	작년에 결혼했어요	got married last year
1384	작다	방이 작아요	room is small
1385	잔	물 한 잔 주세요	give me one glass of water
1386	잔치	결혼 잔치를 했어요	had wedding feast
1387	잘	한국어를 잘 해요	speak Korean well
1388	잘되다	일이 잘돼요	work goes well
1389	잘못	제 잘못이에요	it's my wrong
1390	잘못되다	계산이 잘못됐어요	calculation went wrong
1391	잘못하다	숙제를 잘못했어요	did homework wrong
1392	잘생기다	잘생긴 남자를 봤어요	saw handsome man
1393	잘하다	요리를 잘해요	cook well
1394	잠	잠이 와요	sleep comes
1395	잠깐	잠깐만 기다리세요	wait for moment please
1396	잠시	잠시 후에 전화할게요	will call for while later
1397	잠자다	밤에 잠을 자요	sleep at night
1398	잡다	물고기를 잡았어요	caught fish
1399	잡수시다	식사 잡수세요	please eat meal
