number	korean	example_ko	example_en
200	그만	이제 그만 하세요	stop now please
201	그만두다	일을 그만뒀어요	quit the job
202	그분	그분을 찾아요	looking for him
203	그저께	그저께 만났어요	met day before yesterday
204	그쪽	그쪽으로 가세요	go that way please
205	그치다	비가 그쳤어요	rain stopped
206	극장	극장에서 영화 봐요	watch movie at theater
207	근처	학교 근처에 살아요	live near school
208	글	글을 써요	write writing
209	글쎄	글쎄, 모르겠어요	well, I don't know
210	글쎄요	글쎄요, 어려워요	well, it's difficult
211	글씨	글씨가 예뻐요	handwriting is pretty
212	글자	글자를 읽어요	read the letters
213	금방	금방 끝날 거예요	will finish in a moment
214	금요일	금요일에 만나요	meet on Friday
215	금지	주차 금지예요	parking is prohibited
216	급하다	급한 일이 있어요	have urgent business
217	기간	기간이 짧아요	period is short
218	기다리다	친구를 기다려요	wait for friend
219	기르다	고양이를 기르고 있어요	raising a cat
220	기름	기름을 좀 주세요	give me some oil
221	기말시험	기말시험이 어려웠어요	final exam was difficult
222	기분	오늘 기분이 좋아요	mood is good today
223	기뻐하다	합격해서 기뻐해요	happy because passed
224	기쁘다	정말 기쁜 소식이에요	it's really happy news
225	기쁨	기쁨을 나눠요	share the pleasure
226	기숙사	기숙사에서 살아요	live in dormitory
227	기억	좋은 기억이 있어요	have good memories
228	기억나다	이름이 기억나요	remember the name
229	기온	오늘 기온이 높아요	today's temperature is high
230	기자	기자를 만났어요	met the reporter
231	기차	기차를 타고 가요	go by train
232	기차역	기차역에서 만나요	meet at train station
233	기차표	기차표를 예매했어요	booked train ticket
234	기침	기침이 많이 나요	cough a lot
235	기타	그 기타 것들이에요	those other things
236	기회	좋은 기회가 왔어요	good opportunity came
237	긴장	너무 긴장했어요	was too nervous
238	길	길이 막혀요	road is blocked
239	길다	머리가 길어요	hair is long
240	길이	길이를 재 주세요	measure the length please
241	김	김을 좀 주세요	give me some seaweed
242	김밥	김밥을 싸 왔어요	brought kimbap
243	김치	김치가 맵지 않아요	kimchi is not spicy
244	김치찌개	김치찌개를 끓여요	boil kimchi stew
245	깊다	물이 깊어요	water is deep
246	깊이	깊이를 몰라요	don't know the depth
247	까만색	까만색 옷을 샀어요	bought black color clothes
248	까맣다	머리가 까매요	hair is black
249	깎다	머리를 깎았어요	cut my hair
250	깜짝	깜짝 놀랐어요	was startled
251	깨끗이	방을 깨끗이 청소했어요	cleaned room cleanly
252	깨끗하다	깨끗한 물을 주세요	give me clean water
253	깨다	아침 일찍 깼어요	woke up early morning
254	꺼내다	가방에서 책을 꺼내요	take out book from bag
255	껌	껌을 씹어요	chew chewing gum
256	꼭	꼭 오세요	surely come please
257	꽃	꽃이 정말 예뻐요	flower is really pretty
258	꽃다발	꽃다발을 받았어요	received bouquet
259	꽃병	꽃을 꽃병에 꽂아요	put flower in vase
260	꽃집	꽃집에서 장미를 샀어요	bought rose at flower shop
261	꾸다	꿈을 꿨어요	had a dream
262	꿈	좋은 꿈을 꿨어요	had good dream
263	끄다	불을 꺼 주세요	turn off light please
264	끊다	담배를 끊었어요	quit tobacco
265	끓다	물이 끓고 있어요	water is boiling
266	끓이다	국을 끓여요	boil soup
267	끝	이야기의 끝을 봤어요	saw the end of story
268	끝나다	수업이 끝났어요	class ended
269	끝내다	일을 끝냈어요	finished the work
270	끼다	장갑을 끼세요	wear gloves please
271	나	나는 학생이에요	I am student
272	나가다	밖으로 나가요	go out outside
273	나누다	친구랑 나눠 먹어요	divide and eat with friend
274	나다	불이 났어요	fire happened
275	나라	한국은 좋은 나라예요	Korea is good country
276	나머지	나머지는 내일 해요	do the remainder tomorrow
277	나무	나무가 크게 자랐어요	tree grew big
278	나쁘다	나쁜 사람이 아니에요	not bad person
279	나오다	집에서 나와요	come out from home
280	나이	나이가 어떻게 돼요	how old are you
281	나중	나중에 전화할게요	will call later
282	나타나다	갑자기 나타났어요	appeared suddenly
283	나흘	나흘 동안 여행했어요	traveled for four days
284	낚시	주말에 낚시를 가요	go fishing on weekend
285	날	좋은 날이 올 거예요	good day will come
286	날다	새가 하늘을 날아요	bird flies in sky
287	날씨	오늘 날씨가 좋아요	today's weather is good
288	날씬하다	날씬한 몸매예요	it's slim figure
289	날아다니다	나비가 날아다녀요	butterfly flies around
290	날짜	날짜를 정해 주세요	set the date please
291	남	남의 것을 가져가요	take other people's things
292	남기다	음식을 남겼어요	left food
293	남녀	남녀가 함께 일해요	male and female work together
294	남다	음식이 많이 남았어요	food remained a lot
295	남대문	남대문에 가 봤어요	have been to Namdaemun
296	남동생	남동생이 두 명이에요	have two younger brothers
297	남산	남산에 올라갔어요	climbed up Namsan
298	남성	남성 화장실은 어디예요	where is male restroom
299	남자	남자 친구가 있어요	have male friend
