number	korean	example_ko	example_en
800	사이즈	사이즈가 맞아요	size fits
801	사장	우리 사장님이에요	our president
802	사전	사전을 찾아봐요	look up in dictionary
803	사진	사진을 찍어요	take picture
804	사탕	사탕을 먹어요	eat candy
805	사흘	사흘 동안 여행해요	travel for three days
806	산	산에 올라가요	climb mountain
807	산책	공원에서 산책해요	walk in park
808	살	살이 쪘어요	gained weight
809	살	나이가 스무 살이에요	age is twenty years old
810	살다	한국에 살아요	live in Korea
811	삼	숫자 삼이에요	number three
812	삼거리	삼거리에서 만나요	meet at 3-way intersection
813	삼겹살	삼겹살을 구워요	grill pork belly
814	삼계탕	여름에 삼계탕을 먹어요	eat samgyetang in summer
815	삼십	나이가 삼십이에요	age is thirty
816	삼월	삼월에 봄이 와요	spring comes in March
817	삼촌	삼촌을 만났어요	met uncle
818	상	상을 받았어요	received award
819	상자	선물 상자를 열어요	open gift box
820	상처	상처가 아파요	wound hurts
821	상추	상추를 싸 먹어요	wrap and eat lettuce
822	상품	좋은 상품을 샀어요	bought good product
823	새	새가 날아요	bird flies
824	새	새 신발을 샀어요	bought new shoes
825	새로	새로 시작해요	start newly
826	새롭다	새로운 경험이에요	it's new experience
827	새벽	새벽에 일어났어요	woke up at dawn
828	새해	새해 복 많이 받으세요	happy new year
829	색	무슨 색을 좋아해요	what color do you like
830	색깔	색깔이 예뻐요	color is pretty
831	샌드위치	샌드위치를 먹어요	eat sandwich
832	생각	좋은 생각이 났어요	good thought came
833	생각나다	이름이 생각나요	name comes to mind
834	생기다	문제가 생겼어요	problem was formed
835	생선	생선을 구워요	grill fish
836	생신	할머니 생신이에요	it's grandmother's birthday
837	생일	생일 축하해요	happy birthday
838	생활	한국 생활이 좋아요	Korean life is good
839	샤워	샤워를 했어요	took shower
840	서너	사과 서너 개를 샀어요	bought three or four apples
841	서다	여기 서세요	stand here please
842	서두르다	좀 서둘러 주세요	hurry a bit please
843	서랍	서랍을 열어요	open drawer
844	서로	서로 도와요	help each other
845	서류	서류를 제출해요	submit documents
846	서른	나이가 서른이에요	age is thirty
847	서비스	서비스가 좋아요	service is good
848	서양	서양 음식을 먹어요	eat western food
849	서울	서울에 살아요	live in Seoul
850	서점	서점에서 책을 샀어요	bought book at bookstore
851	서쪽	서쪽으로 가세요	go to west
852	섞다	재료를 섞어요	mix the ingredients
853	선물	선물을 받았어요	received gift
854	선배	대학 선배를 만났어요	met college senior
855	선생님	우리 선생님이에요	our teacher
856	선선하다	날씨가 선선해요	weather is cool
857	선수	축구 선수가 됐어요	became soccer player
858	선택	메뉴를 선택해요	select the menu
859	선풍기	선풍기를 켜요	turn on fan
860	설거지	설거지를 해요	do dish washing
861	설날	설날에 떡국을 먹어요	eat rice cake soup on New Year
862	설렁탕	설렁탕을 먹어요	eat seolleongtang
863	설명	자세히 설명해 주세요	explain in detail please
864	설탕	설탕을 넣어요	put in sugar
865	섬	작은 섬에 가요	go to small island
866	섭섭하다	마음이 섭섭해요	heart feels sorry
867	성	성이 뭐예요	what is family name
868	성격	성격이 좋아요	personality is good
869	성공	시험에 성공했어요	succeeded in exam
870	성적	성적이 좋아요	grade is good
871	성함	성함이 어떻게 되세요	what is your name
872	세	숫자 세예요	number three
873	세	나이가 스무 세예요	age is twenty
874	세계	세계 여행을 가요	go on world travel
875	세다	힘이 세요	strength is strong
876	세배	할머니께 세배했어요	made New Year's bow to grandmother
877	세상	세상이 넓어요	world is wide
878	세수	아침에 세수해요	wash up in morning
879	세우다	계획을 세워요	set up plan
880	세탁	세탁을 맡겼어요	entrusted laundry
881	세탁기	세탁기를 샀어요	bought washing machine
882	세탁소	세탁소에 맡겨요	leave at laundry
883	센터	쇼핑 센터에 가요	go to shopping center
884	센티미터	길이가 50센티미터예요	length is 50 centimeters
885	셋	모두 셋이에요	all together three
886	셋째	셋째 아들이에요	third son
887	소	소를 키워요	raise cow
888	소개	친구를 소개해요	introduce friend
889	소고기	소고기를 먹어요	eat beef
890	소금	소금을 넣어 주세요	put in salt please
891	소리	큰 소리가 났어요	loud sound came
892	소설	소설을 읽어요	read novel
893	소식	좋은 소식이 있어요	have good news
894	소주	소주를 마셔요	drink soju
895	소중하다	소중한 추억이에요	it's precious memory
896	소파	소파에 앉아요	sit on sofa
897	소포	소포를 보냈어요	sent parcel
898	소풍	내일 소풍을 가요	go on picnic tomorrow
899	소화제	소화제를 먹어요	take digestive medicine
