number	korean	example_ko	example_en
1500	주차장	주차장이 넓어요	parking lot is wide
1501	주황색	주황색 옷을 샀어요	bought orange color clothes
1502	죽다	나무가 죽었어요	tree died
1503	준비	여행 준비를 해요	prepare for travel
1504	줄	줄을 서세요	stand in line please
1505	줄다	살이 줄었어요	weight shrank
1506	줄이다	시간을 줄여요	reduce time
1507	줍다	쓰레기를 주워요	pick up garbage
1508	중	공부하는 중이에요	in the middle of studying
1509	중간	중간에 쉬어요	rest in middle
1510	중국	중국에 가 봤어요	have been to China
1511	중국집	중국집에서 먹어요	eat at Chinese restaurant
1512	중심	도시 중심에 살아요	live in city center
1513	중앙	중앙에 있어요	it's in central
1514	중요	건강이 중요해요	health is important
1515	중학교	중학교를 졸업했어요	graduated from middle school
1516	중학생	중학생이 많아요	middle schoolers are many
1517	즐거워하다	친구들이 즐거워해요	friends are having fun
1518	즐겁다	즐거운 시간이었어요	it was fun time
1519	즐기다	음악을 즐겨요	enjoy music
1520	지각	학교에 지각했어요	was late to school
1521	지갑	지갑을 잃어버렸어요	lost wallet
1522	지금	지금 바빠요	busy now
1523	지나가다	버스가 지나가요	bus passes by
1524	지나다	시간이 지났어요	time passed
1525	지난달	지난달에 만났어요	met last month
1526	지난번	지난번에 봤어요	saw last time
1527	지난주	지난주에 여행했어요	traveled last week
1528	지난해	지난해에 결혼했어요	got married last year
1529	지내다	잘 지내요	stay well
1530	지다	경기에서 졌어요	lost in game
1531	지도	지도를 봐요	look at map
1532	지루하다	수업이 지루해요	class is bored
1533	지르다	소리를 질러요	yell sound
1534	지방	시골 지방에 살아요	live in rural region
1535	지우개	지우개를 빌려 주세요	lend me eraser please
1536	지우다	글씨를 지워요	erase writing
1537	지키다	약속을 지켜요	protect promise
1538	지하	지하에 주차해요	park in basement
1539	지하도	지하도로 건너요	cross via underpass
1540	지하철	지하철을 타요	take subway
1541	지하철역	지하철역에서 만나요	meet at subway station
1542	직업	직업이 뭐예요	what is your job
1543	직원	회사 직원이에요	company staff
1544	직장	직장에 다녀요	go to workplace
1545	직접	직접 만들었어요	made directly
1546	진짜	진짜 좋아요	really good
1547	진하다	커피가 진해요	coffee is thick
1548	질문	질문이 있어요	have question
1549	짐	짐을 싸요	pack luggage
1550	집	집에 가요	go home
1551	집들이	다음 주에 집들이를 해요	have housewarming next week
1552	집안일	집안일을 도와요	help with housework
1553	짓다	집을 짓고 있어요	building house
1554	짜다	음식이 짜요	food is salty
1555	짜증	짜증이 나요	annoyance comes
1556	짝	신발 짝을 찾아요	look for shoe pair
1557	짧다	치마가 짧아요	skirt is short
1558	짬뽕	짬뽕을 먹어요	eat champong
1559	쪽	어느 쪽을 좋아해요	which side do you like
1560	찌개	찌개를 끓여요	boil stew
1561	찌다	살이 쪘어요	gained weight
1562	찌다	만두를 쪄요	steam dumplings
1563	찍다	사진을 찍어요	take photo
1564	차	차를 마셔요	drink tea
1565	차	차를 타요	take car
1566	차갑다	물이 차가워요	water is cold
1567	차다	물이 가득 찼어요	water is full
1568	차다	공을 차요	kick ball
1569	차다	시계를 차요	wear watch
1570	차다	날씨가 차요	weather is cold
1571	차례	제 차례가 왔어요	my turn came
1572	착하다	착한 아이예요	it's kind child
1573	찬물	찬물을 마셔요	drink cold water
1574	참	참 좋아요	very good
1575	참다	화를 참아요	suppress anger
1576	참외	참외가 달아요	melon is sweet
1577	창문	창문을 열어요	open window
1578	찾다	친구를 찾아요	find friend
1579	찾아가다	병원을 찾아가요	go to hospital
1580	찾아보다	지도를 찾아봐요	look for map
1581	찾아오다	집으로 찾아왔어요	came to home
1582	채소	채소를 먹어요	eat vegetables
1583	책	책을 읽어요	read book
1584	책상	책상 위에 놓아요	put on desk
1585	책장	책장을 열어요	open bookshelf
1586	처음	처음 만났어요	met for first time
1587	천	일천 원이에요	one thousand won
1588	천만	일천만 원이에요	ten million won
1589	천천히	천천히 걸어요	walk slowly
1590	첫	첫 수업이에요	first class
1591	첫날	첫날이 기억나요	remember first day
1592	첫째	첫째 아들이에요	first son
1593	청년	젊은 청년이에요	it's young youth
1594	청바지	청바지를 입어요	wear blue jeans
1595	청소	방 청소를 해요	do room cleaning
1596	청소년	청소년이 많아요	teenagers are many
1597	체육관	체육관에서 운동해요	exercise at gym
1598	체크무늬	체크무늬 옷을 샀어요	bought checkered clothes
1599	쳐다보다	하늘을 쳐다봐요	look at sky
