number	korean	example_ko	example_en
300	남쪽	남쪽으로 가세요	go to the south
301	남편	남편을 사랑해요	love my husband
302	남학생	남학생이 많아요	male students are many
303	낫다	감기가 다 나았어요	cold recovered completely
304	낫다	이게 더 나아요	this is better
305	낮	낮에 일해요	work in daytime
306	낮다	책상이 너무 낮아요	desk is too low
307	낮잠	점심 후에 낮잠을 자요	take nap after lunch
308	내	내 가방이에요	it's my bag
309	내과	내과에 가야 해요	need to go to internal medicine
310	내년	내년에 결혼해요	get married next year
311	내다	숙제를 내세요	submit homework please
312	내려가다	아래로 내려가요	go down below
313	내려오다	산에서 내려와요	come down from mountain
314	내리다	버스에서 내려요	get off the bus
315	내용	내용을 확인해요	check the content
316	내일	내일 만나요	meet tomorrow
317	냄비	냄비에 물을 끓여요	boil water in pot
318	냄새	좋은 냄새가 나요	good smell comes
319	냉면	여름에 냉면을 먹어요	eat cold noodles in summer
320	냉장고	냉장고에 넣어 주세요	put in refrigerator please
321	너	너는 학생이에요	you are student
322	너무	너무 예뻐요	too pretty
323	너희	너희 집은 어디예요	where is your house
324	넓다	넓은 방을 찾아요	look for wide room
325	넘다	선을 넘었어요	crossed over the line
326	넘어지다	길에서 넘어졌어요	fell down on road
327	넣다	가방에 책을 넣어요	put book in bag
328	네	네가 좋아요	I like you
329	네	하나 둘 셋 네	one two three four
330	네	네, 알겠습니다	yes, I understand
331	넥타이	넥타이를 매요	tie the necktie
332	넷	모두 넷이에요	all together four
333	넷째	넷째 아들이에요	fourth son
334	년	십 년이 지났어요	ten years passed
335	노란색	노란색 꽃을 샀어요	bought yellow color flowers
336	노랗다	노란 바나나를 먹어요	eat yellow banana
337	노래	노래를 잘 불러요	sing song well
338	노래방	친구랑 노래방에 가요	go to karaoke with friend
339	노력	열심히 노력해요	try hard with effort
340	노인	노인을 도와 드려요	help old man
341	노트	노트에 적어 주세요	write in note please
342	녹색	녹색 옷을 입어요	wear green clothes
343	녹차	녹차를 마셔요	drink green tea
344	놀다	친구랑 놀아요	play with friend
345	놀라다	깜짝 놀랐어요	was surprised
346	놀이	재미있는 놀이예요	it's fun game
347	농구	농구를 좋아해요	like basketball
348	농담	농담을 했어요	made a joke
349	높다	산이 높아요	mountain is high
350	높이	높이를 재요	measure the height
351	높이	손을 높이 들어요	raise hand highly
352	놓다	책상 위에 놓으세요	put on desk please
353	누구	누구를 찾으세요	who are you looking for
354	누나	누나가 두 명이에요	have two older sisters
355	누르다	버튼을 눌러 주세요	press the button please
356	눈	눈이 아파요	eye hurts
357	눈	눈이 많이 와요	snow comes a lot
358	눈물	눈물이 나요	tears come out
359	눕다	침대에 누워요	lie down on bed
360	뉴스	뉴스를 봐요	watch news
361	느끼다	행복을 느껴요	feel happiness
362	느낌	좋은 느낌이에요	it's good feeling
363	느리다	인터넷이 너무 느려요	internet is too slow
364	늘	늘 고마워요	always thank you
365	늘다	살이 늘었어요	weight increased
366	늙다	많이 늙었어요	got old a lot
367	능력	능력이 뛰어나요	ability is excellent
368	늦다	약속에 늦었어요	late for appointment
369	다	다 먹었어요	ate all
370	다녀오다	학교 다녀올게요	will be back from school
371	다니다	회사에 다녀요	go to company
372	다르다	생각이 달라요	thoughts are different
373	다른	다른 것을 주세요	give me different thing
374	다리	다리가 길어요	leg is long
375	다리	한강 다리를 건너요	cross Han River bridge
376	다림질	옷을 다림질해요	iron the clothes
377	다섯	사과 다섯 개예요	five apples
378	다섯째	다섯째 줄에 앉아요	sit in fifth row
379	다시	다시 한번 말해 주세요	say again once please
380	다양	다양한 음식이 있어요	various foods exist
381	다음	다음 주에 만나요	meet next week
382	다음날	다음날 아침에 일어났어요	woke up next day morning
383	다이어트	다이어트를 시작했어요	started diet
384	다치다	손을 다쳤어요	hurt my hand
385	다하다	최선을 다해요	do my best
386	닦다	신발을 닦아요	polish the shoes
387	단순	단순한 문제예요	it's simple problem
388	단어	새 단어를 배워요	learn new words
389	단추	단추를 달아 주세요	attach the button please
390	단풍	가을에 단풍을 봐요	see autumn leaves in fall
391	닫다	문을 닫아 주세요	close the door please
392	달	이번 달은 바빠요	this month is busy
393	달걀	달걀을 삶아요	boil the egg
394	달다	사탕이 달아요	candy is sweet
395	달력	달력을 봐요	look at calendar
396	달리기	매일 달리기를 해요	do running every day
397	달리다	빨리 달려요	run fast
398	닭	닭을 키워요	raise chicken
399	닭고기	닭고기를 좋아해요	like chicken meat
