number	korean	notes
801	사장	직원
802	사전
803	사진
804	사탕
805	사흘	나흘
806	산	바다
807	산책
808	살
809	살	나이
810	살다	죽다
811	삼
812	삼거리	사거리
813	삼겹살
814	삼계탕
815	삼십
816	삼월
817	삼촌
818	상
819	상자
820	상처
821	상추
822	상품
823	새	물고기
824	새	옛날
825	새로
826	새롭다	옛날
827	새벽	저녁
828	새해	묵은해
829	색	색깔
830	색깔	색
831	샌드위치
832	생각
833	생각나다
834	생기다
835	생선	고기
836	생신	생일
837	생일	생신
838	생활	생활
839	샤워
840	서너
841	서다	앉다
842	서두르다
843	서랍
844	서로
845	서류
846	서른
847	서비스
848	서양	동양
849	서울
850	서점
851	서쪽	동쪽
852	섞다
853	선물
854	선배	후배
855	선생님	학생
856	선선하다
857	선수
858	선택
859	선풍기
860	설거지
861	설날
862	설렁탕
863	설명	질문
864	설탕	소금
865	섬
866	섭섭하다
867	성	이름
868	성격
869	성공	실패
870	성적
871	성함	이름
872	세
873	세	나이
874	세계
875	세다	약하다
876	세배
877	세상
878	세수
879	세우다	눕히다
880	세탁
881	세탁기
882	세탁소
883	센터
884	센티미터
885	셋
886	셋째
887	소	돼지
888	소개
889	소고기	돼지고기
890	소금	설탕
891	소리	소리
892	소설	시
893	소식	뉴스
894	소주	맥주
895	소중하다
896	소파
897	소포
898	소풍
899	소화제
900	속	겉
