number	korean	example_ko	example_en
1600	초	처음부터 시작해요	start from beginning
1601	초	1분은 60초예요	one minute is 60 seconds
1602	초대	친구를 초대했어요	invited friend
1603	초대장	초대장을 받았어요	received invitation card
1604	초등학교	초등학교를 졸업했어요	graduated from elementary school
1605	초등학생	초등학생이 많아요	elementary students are many
1606	초록색	초록색 옷을 샀어요	bought green clothes
1607	초콜릿	초콜릿을 좋아해요	like chocolate
1608	최고	최고의 선물이에요	it's best gift
1609	최근	최근에 바빠요	busy recently
1610	추다	춤을 춰요	dance
1611	추석	추석에 고향에 가요	go to hometown on Chuseok
1612	축구	축구를 좋아해요	like soccer
1613	축구공	축구공을 샀어요	bought soccer ball
1614	축하	생일을 축하해요	congratulate birthday
1615	출구	출구가 어디예요	where is exit
1616	출근	아침 일찍 출근해요	go to work early morning
1617	출발	내일 출발해요	depart tomorrow
1618	출석	매일 출석해요	attend every day
1619	출입	출입을 금지해요	prohibit access
1620	출입국	출입국 심사를 받아요	receive immigration inspection
1621	출장	다음 주에 출장을 가요	go on business trip next week
1622	출퇴근	매일 출퇴근해요	commute every day
1623	춤	춤을 춰요	dance
1624	춤추다	신나게 춤을 춰요	dance excitedly
1625	춥다	겨울이 추워요	winter is cold
1626	충분하다	돈이 충분해요	money is enough
1627	취미	취미가 뭐예요	what is your hobby
1628	취소	예약을 취소했어요	canceled reservation
1629	취직	회사에 취직했어요	got employment at company
1630	층	3층에 살아요	live on 3rd floor
1631	치과	치과에 가요	go to dentist
1632	치다	테니스를 쳐요	play tennis
1633	치료	치료를 받아요	receive treatment
1634	치마	치마를 샀어요	bought skirt
1635	치약	치약을 샀어요	bought toothpaste
1636	치킨	치킨을 시켰어요	ordered chicken
1637	친구	친구를 만나요	meet friend
1638	친절	친절한 사람이에요	it's kind person
1639	친척	친척을 만났어요	met relative
1640	친하다	친한 친구예요	it's close friend
1641	칠	숫자 칠이에요	number seven
1642	칠십	나이가 칠십이에요	age is seventy
1643	칠월	칠월은 여름이에요	July is summer
1644	칠판	칠판에 써요	write on blackboard
1645	침대	침대에 누워요	lie on bed
1646	침실	침실이 깨끗해요	bedroom is clean
1647	칫솔	칫솔을 샀어요	bought toothbrush
1648	칭찬	선생님께 칭찬받았어요	received compliment from teacher
1649	카드	카드로 계산해요	pay with card
1650	카레	카레를 먹어요	eat curry
1651	카메라	카메라를 샀어요	bought camera
1652	카페	카페에서 커피를 마셔요	drink coffee at cafe
1653	칼	칼로 썰어요	cut with knife
1654	칼국수	칼국수를 먹어요	eat kalguksu
1655	캐나다	캐나다에 가 봤어요	have been to Canada
1656	커피	커피를 마셔요	drink coffee
1657	커피숍	커피숍에서 만나요	meet at coffee shop
1658	컴퓨터	컴퓨터를 써요	use computer
1659	컵	컵에 물을 넣어요	put water in cup
1660	케이크	케이크를 먹어요	eat cake
1661	켜다	불을 켜요	turn on light
1662	켜다	바이올린을 켜요	play violin
1663	켤레	신발 두 켤레를 샀어요	bought two pairs of shoes
1664	코	코가 아파요	nose hurts
1665	코끼리	코끼리를 봤어요	saw elephant
1666	콘서트	콘서트에 가요	go to concert
1667	콜라	콜라를 마셔요	drink cola
1668	콧물	콧물이 나요	nose runs
1669	콩	콩을 삶아요	boil beans
1670	크기	크기가 커요	size is big
1671	크다	방이 커요	room is big
1672	크리스마스	크리스마스에 선물을 받아요	receive gift on Christmas
1673	큰소리	큰소리를 내요	make loud sound
1674	키	키가 커요	height is tall
1675	키우다	강아지를 키워요	raise puppy
1676	킬로그램	무게가 10킬로그램이에요	weight is 10 kilograms
1677	킬로미터	거리가 10킬로미터예요	distance is 10 kilometers
1678	타다	집이 타요	house burns
1679	타다	버스를 타요	take bus
1680	타다	커피를 타요	make instant coffee
1681	탁구	탁구를 쳐요	play ping-pong
1682	탕수육	탕수육을 먹어요	eat tangsuyuk
1683	태국	태국에 가 봤어요	have been to Thailand
1684	태권도	태권도를 배워요	learn taekwondo
1685	태극기	태극기를 봤어요	saw Korean flag
1686	태도	태도가 좋아요	attitude is good
1687	태어나다	한국에서 태어났어요	was born in Korea
1688	태풍	태풍이 와요	typhoon comes
1689	택배	택배를 보냈어요	sent parcel
1690	택시	택시를 탔어요	took taxi
1691	터미널	터미널에서 버스를 타요	take bus at terminal
1692	테니스	테니스를 쳐요	play tennis
1693	테니스장	테니스장에 가요	go to tennis court
1694	테이블	테이블을 닦아요	wipe table
1695	텔레비전	텔레비전을 봐요	watch television
1696	토끼	토끼를 키워요	raise rabbit
1697	토마토	토마토를 먹어요	eat tomato
1698	토요일	토요일에 쉬어요	rest on Saturday
1699	통장	통장을 만들었어요	made bankbook
