number	korean	example_ko	example_en
1000	십일월	십일월에 추워요	it's cold in November
1001	싱겁다	국이 싱거워요	soup is bland
1002	싸다	김밥을 싸요	wrap kimbap
1003	싸다	가격이 싸요	price is cheap
1004	싸우다	친구랑 싸웠어요	fought with friend
1005	쌀	쌀을 샀어요	bought rice
1006	쌀쌀하다	날씨가 쌀쌀해요	weather is cold
1007	쌓다	눈을 쌓아요	stack snow
1008	썰다	고기를 썰어요	cut meat
1009	쓰다	편지를 써요	write letter
1010	쓰다	모자를 써요	wear hat
1011	쓰다	컴퓨터를 써요	use computer
1012	쓰다	약이 써요	medicine is bitter
1013	쓰레기	쓰레기를 버려요	throw away garbage
1014	쓰레기통	쓰레기통에 버리세요	throw in trash can
1015	씨	김 씨를 만났어요	met Mr Kim
1016	씹다	음식을 잘 씹어요	chew food well
1017	씻다	손을 씻어요	wash hands
1018	아	아, 그래요	ah, I see
1019	아가씨	저기 아가씨	miss over there
1020	아기	아기가 자요	baby sleeps
1021	아까	아까 전화했어요	called a while ago
1022	아나운서	아나운서가 됐어요	became announcer
1023	아내	아내를 사랑해요	love my wife
1024	아니	아니, 괜찮아요	no, it's okay
1025	아니다	학생이 아니에요	not student
1026	아니요	아니요, 몰라요	no, I don't know
1027	아들	아들이 둘이에요	have two sons
1028	아래	아래층에 살아요	live below floor
1029	아래쪽	아래쪽으로 가세요	go down direction
1030	아르바이트	아르바이트를 해요	do part-time job
1031	아름답다	아름다운 꽃을 봤어요	saw beautiful flower
1032	아마	아마 올 거예요	maybe will come
1033	아무	아무도 없어요	no one is there
1034	아무것	아무것도 안 먹었어요	didn't eat anything
1035	아무리	아무리 해도 안 돼요	no matter how much can't do it
1036	아버님	아버님을 뵈었어요	met father
1037	아버지	아버지가 회사에 가요	father goes to company
1038	아빠	우리 아빠가 좋아요	like my dad
1039	아이	아이들이 놀아요	children play
1040	아이스크림	아이스크림을 먹어요	eat ice cream
1041	아저씨	아저씨를 만났어요	met mister
1042	아주	아주 좋아요	very good
1043	아주머니	아주머니께 물어봐요	ask old lady
1044	아줌마	아줌마를 도와 드려요	help madam
1045	아직	아직 안 왔어요	not yet came
1046	아침	아침을 먹어요	eat breakfast
1047	아파트	아파트에 살아요	live in apartment
1048	아프다	머리가 아파요	head is sick
1049	아홉	사과 아홉 개예요	nine apples
1050	아흔	나이가 아흔이에요	age is ninety
1051	악기	악기를 배워요	learn musical instrument
1052	안	방 안에 있어요	inside room
1053	안	안 가요	not go
1054	안개	안개가 꼈어요	fog formed
1055	안경	안경을 써요	wear glasses
1056	안내	길을 안내해요	guide the way
1057	안내문	안내문을 읽어요	read notice
1058	안녕	안녕, 잘 지내	hi, doing well
1059	안녕히	안녕히 가세요	bye, go well
1060	안다	아이를 안아요	hug child
1061	안되다	술을 안 돼요	alcohol is not allowed
1062	안전	안전이 중요해요	safety is important
1063	안쪽	안쪽으로 들어가요	go to inside
1064	앉다	의자에 앉아요	sit on chair
1065	알다	답을 알아요	know the answer
1066	알리다	소식을 알려요	inform the news
1067	알맞다	크기가 알맞아요	size fits
1068	알아보다	가격을 알아봐요	inquire about price
1069	앞	앞에 서세요	stand in front
1070	앞쪽	앞쪽으로 가세요	go to front
1071	애	애가 귀여워요	child is cute
1072	애인	애인을 만났어요	met lover
1073	앨범	앨범을 샀어요	bought album
1074	야	밤이 깊었어요	night is deep
1075	야구	야구를 좋아해요	like baseball
1076	야채	야채를 먹어요	eat vegetables
1077	약	약 10분 걸려요	takes about 10 minutes
1078	약	약을 먹어요	take medicine
1079	약간	약간 매워요	slightly spicy
1080	약국	약국에서 약을 샀어요	bought medicine at pharmacy
1081	약사	약사에게 물어봐요	ask pharmacist
1082	약속	친구와 약속이 있어요	have promise with friend
1083	약하다	몸이 약해요	body is weak
1084	얇다	옷이 얇아요	clothes are thin
1085	양말	양말을 신어요	wear socks
1086	양복	양복을 입어요	wear suit
1087	양식	양식을 작성해요	fill out form
1088	양식집	양식집에서 먹어요	eat at western food restaurant
1089	양치질	양치질을 해요	do brushing teeth
1090	얘기	재미있는 얘기예요	it's interesting story
1091	어	어, 정말요	oh, really
1092	어깨	어깨가 아파요	shoulder hurts
1093	어느	어느 것을 좋아해요	which one do you like
1094	어둡다	밖이 어두워요	outside is dark
1095	어디	어디에 가세요	where are you going
1096	어떠하다	맛이 어때요	how about the taste
1097	어떤	어떤 색을 좋아해요	which color do you like
1098	어떻다	날씨가 어때요	how is weather
1099	어렵다	문제가 어려워요	problem is difficult
