number	korean	example_ko	example_en
1800	현금	현금으로 계산해요	pay with cash
1801	현재	현재 서울에 살아요	currently live in Seoul
1802	형	형을 만났어요	met older brother
1803	형제	형제가 몇 명이에요	how many brothers do you have
1804	호	301호에 살아요	live in No. 301
1805	호랑이	호랑이를 봤어요	saw tiger
1806	호수	호수가 아름다워요	lake is beautiful
1807	호텔	호텔에 묵어요	stay at hotel
1808	혹시	혹시 시간 있어요	maybe have time
1809	혼자	혼자 살아요	live alone
1810	홍차	홍차를 마셔요	drink black tea
1811	화	화가 나요	angry
1812	화가	유명한 화가예요	it's famous painter
1813	화나다	친구한테 화났어요	got angry at friend
1814	화내다	엄마가 화를 내요	mom gets angry
1815	화려하다	옷이 화려해요	clothes are gorgeous
1816	화요일	화요일에 만나요	meet on Tuesday
1817	화장실	화장실이 어디예요	where is restroom
1818	화장품	화장품을 샀어요	bought cosmetics
1819	환영	손님을 환영해요	welcome guests
1820	환자	병원에 환자가 많아요	patients are many at hospital
1821	환전	돈을 환전했어요	exchanged currency
1822	활발히	아이들이 활발히 놀아요	children play actively
1823	회	3회를 봤어요	watched episode 3
1824	회사	회사에 다녀요	go to company
1825	회사원	회사원이에요	office worker
1826	회색	회색 옷을 샀어요	bought gray clothes
1827	회원	회원이 됐어요	became member
1828	회의	오후에 회의가 있어요	have meeting in afternoon
1829	횡단보도	횡단보도를 건너요	cross crosswalk
1830	후	식사 후에 산책해요	walk after meal
1831	후배	대학 후배를 만났어요	met college junior
1832	훌륭하다	훌륭한 선생님이에요	it's excellent teacher
1833	훨씬	이게 훨씬 좋아요	this is much better
1834	휴가	다음 주에 휴가예요	vacation is next week
1835	휴게실	휴게실에서 쉬어요	rest in rest area
1836	휴대폰	휴대폰을 샀어요	bought cellphone
1837	휴일	휴일에 쉬어요	rest on dayoff
1838	휴지	휴지를 주세요	give me tissue please
1839	휴지통	휴지통에 버려요	throw in trash can
1840	흐르다	강물이 흘러요	river water flows
1841	흐리다	날씨가 흐려요	weather is cloudy
1842	흔들다	손을 흔들어요	wave hand
1843	흘리다	눈물을 흘려요	shed tears
1844	희망	희망을 가져요	have hope
1845	흰색	흰색 옷을 샀어요	bought white color clothes
1846	힘	힘이 세요	power is strong
1847	힘들다	일이 힘들어요	work is hard
