number	korean	example_ko	example_en
600	무	무를 썰어요	cut radish
601	무겁다	가방이 무거워요	bag is heavy
602	무게	무게를 재 주세요	measure the weight please
603	무궁화	무궁화가 예뻐요	mugunghwa is pretty
604	무료	입장이 무료예요	admission is free
605	무릎	무릎이 아파요	knee hurts
606	무섭다	무서운 영화를 봤어요	watched scary movie
607	무슨	무슨 일이에요	what matter is it
608	무엇	무엇을 찾으세요	what are you looking for
609	무척	무척 기뻐요	very happy
610	문	문을 열어 주세요	open the door please
611	문제	문제가 어려워요	problem is difficult
612	문화	한국 문화를 배워요	learn Korean culture
613	묻다	길을 물어요	ask the way
614	물	물을 마셔요	drink water
615	물건	물건을 샀어요	bought things
616	물고기	물고기를 키워요	raise fish
617	물론	물론 좋아요	of course good
618	물어보다	선생님께 물어봐요	ask the teacher
619	뭐	뭐 드실래요	what will you eat
620	미국	미국에서 왔어요	came from USA
621	미끄러지다	길에서 미끄러졌어요	slipped on road
622	미래	미래가 기대돼요	future is anticipated
623	미리	미리 준비해요	prepare in advance
624	미술관	미술관에 가요	go to art gallery
625	미안	정말 미안해요	really sorry
626	미역국	생일에 미역국을 먹어요	eat seaweed soup on birthday
627	미용실	미용실에 가요	go to beauty salon
628	미터	길이가 10미터예요	length is 10 meters
629	믿다	친구를 믿어요	trust friend
630	밀가루	밀가루를 샀어요	bought flour
631	밀다	문을 밀어 주세요	push the door please
632	밑	책상 밑에 있어요	it's under desk
633	바깥	바깥이 추워요	outside is cold
634	바깥쪽	바깥쪽으로 나가요	go to the outside
635	바꾸다	돈을 바꿔요	change money
636	바뀌다	계획이 바뀌었어요	plan was changed
637	바나나	바나나를 좋아해요	like banana
638	바다	바다가 아름다워요	ocean is beautiful
639	바닥	바닥을 닦아요	wipe the floor
640	바닷가	바닷가에 가요	go to beach
641	바라다	성공을 바라요	hope for success
642	바라보다	하늘을 바라봐요	look at sky
643	바람	바람이 불어요	wind blows
644	바로	바로 갈게요	will go right away
645	바르다	크림을 발라요	apply cream
646	바쁘다	오늘 많이 바빠요	very busy today
647	바이올린	바이올린을 연주해요	play violin
648	바지	바지를 샀어요	bought pants
649	박물관	박물관을 구경해요	visit museum
650	박수	박수를 쳐요	clap applause
651	밖	밖에 나가요	go outside
652	반	절반만 주세요	give me half please
653	반	우리 반 학생이에요	our class student
654	반갑다	만나서 반가워요	glad to meet you
655	반대	반대쪽에 있어요	it's on the opposite side
656	반드시	반드시 오세요	certainly come please
657	반바지	여름에 반바지를 입어요	wear shorts in summer
658	반지	예쁜 반지를 샀어요	bought pretty ring
659	반찬	반찬이 많아요	side dishes are many
660	받다	선물을 받았어요	received gift
661	받아쓰다	선생님 말씀을 받아써요	dictate teacher's words
662	발	발이 아파요	foot hurts
663	발가락	발가락을 다쳤어요	hurt my toes
664	발바닥	발바닥이 아파요	sole hurts
665	밝다	방이 밝아요	room is bright
666	밤	밤에 자요	sleep at night
667	밥	밥을 먹어요	eat rice
668	방	방이 깨끗해요	room is clean
669	방금	방금 도착했어요	just arrived
670	방문	방문을 닫아요	close the door
671	방문	친구 집을 방문해요	visit friend's house
672	방법	좋은 방법이 있어요	there is good method
673	방송	방송을 봐요	watch broadcast
674	방송국	방송국에서 일해요	work at broadcast station
675	방학	방학이 시작됐어요	vacation started
676	방향	방향을 알려 주세요	tell me direction please
677	배	배가 고파요	belly is hungry
678	배	배를 타요	ride ship
679	배	배가 달아요	pear is sweet
680	배	두 배로 늘었어요	increased two times
681	배달	음식 배달을 시켰어요	ordered food delivery
682	배드민턴	배드민턴을 쳐요	play badminton
683	배우	유명한 배우를 봤어요	saw famous actor
684	배우다	한국어를 배워요	learn Korean
685	배추	배추를 샀어요	bought cabbage
686	배탈	배탈이 났어요	got stomachache
687	백	일백 원이에요	one hundred won
688	백만	백만 원을 벌었어요	earned million won
689	백화점	백화점에서 쇼핑해요	shop at department store
690	뱀	뱀이 무서워요	snake is scary
691	버릇	나쁜 버릇이 있어요	have bad habit
692	버리다	쓰레기를 버려요	throw away garbage
693	버스	버스를 타요	take bus
694	번	한 번 더 해요	do one more time
695	번째	세 번째 줄이에요	third row
696	번호	전화번호를 알려 주세요	tell me phone number
697	벌	옷 두 벌을 샀어요	bought two sets of clothes
698	벌다	돈을 벌어요	earn money
699	벌써	벌써 끝났어요	already finished
