901	속도	速度
902	속옷	속 + 옷
903	손
904	손가락	손 + 가락
905	손녀	孫女
906	손님	손 + 님
907	손바닥	손 + 바닥
908	손수건	손 + 手巾
909	송편
910	쇼핑	shopping
911	수	數 / 数
912	수건	手巾
913	수고	辛苦
914	수박
915	수술	手術
916	수업	授業
917	수영	水泳
918	수영복	水泳服
919	수영장	水泳場
920	수요일	水曜日
921	수저	匙箸
922	수첩	手帖
923	숙제	宿題
924	순두부찌개	純豆腐 + 찌개
925	순서	順序
926	숟가락
927	술
928	술집	술 + 집
929	숫자	數字 / 数字
930	쉬다
931	쉬다
932	쉰
933	쉽다
934	슈퍼마켓	supermarket
935	스무
936	스물
937	스스로
938	스웨터	sweater
939	스카프	scarf
940	스케이트	skate
941	스키	ski
942	스키장	ski + 場
943	스타	star
944	스트레스	stress
945	스파게티	spaghetti
946	스포츠	sports
947	슬퍼하다
948	슬프다
949	슬픔
950	습관	習慣
951	시	市
952	시	時
953	시간	時間
954	시간표	時間表
955	시계	時計
956	시골
957	시끄럽다
958	시내	市內 / 市内
959	시다
960	시민	市民
961	시어머니
962	시원하다
963	시월	十月
964	시작	始作
965	시장	市場
966	시청	市廳 / 市庁
967	시키다
968	시험	試驗 / 試験
969	식구	食口
970	식다
971	식당	食堂
972	식빵	食 + 빵
973	식사	食事
974	식초	食醋
975	식탁	食卓
976	식품	食品
977	신다
978	신랑	新郎
979	신문	新聞
980	신발
981	신부	新婦
982	신분증	身分證 / 身分証
983	신선하다	新鮮
984	신청	申請
985	신호	信號 / 信号
986	신호등	信號燈 / 信号灯
987	신혼여행	新婚旅行
988	싣다
989	실례	失禮 / 失礼
990	실수	失手
991	실패	失敗
992	싫다
993	싫어하다	싫다 + 하다
994	심다
995	심심하다
996	심하다	甚
997	십	十
998	십만	十萬 / 十万
999	십이월	十二月
1000	십일월	十一月
