number	korean	example_ko	example_en
1	가게	가게에 자주 가요	go to store often
2	가격	가격이 너무 비싸요	price is too expensive
3	가구	가구를 새로 샀어요	bought new furniture
4	가깝다	가까운 곳이에요	it's a close place
5	가끔	친구를 가끔 만나요	meet friend sometimes
6	가늘다	가는 실을 주세요	give me thin thread
7	가다	학교에 먼저 가요	go to school first
8	가득	물이 가득 찼어요	full of water
9	가르치다	영어를 가르쳐 주세요	teach me English
10	가리키다	저쪽을 가리켜요	point over there
11	가방	새 가방이 예뻐요	new bag is pretty
12	가볍다	가벼운 가방을 샀어요	bought a light bag
13	가수	유명한 가수가 됐어요	became a famous singer
14	가슴	가슴이 많이 아파요	chest hurts a lot
15	가요	한국 가요를 들어요	listen to Korean songs
16	가운데	가운데에 앉으세요	sit in the middle
17	가위	가위를 좀 빌려 주세요	lend me scissors please
18	가을	가을이 벌써 왔어요	autumn already came
19	가장	제가 가장 좋아해요	I like it most
20	가져가다	책을 집에 가져가요	take book home
21	가져오다	내일 가져올게요	will bring tomorrow
22	가족	가족이랑 살아요	live with family
23	가지	여러 가지가 있어요	various kinds exist
24	가지다	돈이 많이 있어요	have a lot of money
25	각각	가격이 각각 달라요	prices are each different
26	간단하다	간단한 질문이 있어요	have a simple question
27	간단히	간단히 설명해 주세요	explain simply please
28	간식	간식을 좀 먹을까요	shall we eat snacks
29	간장	간장을 좀 건네 주세요	pass the soy sauce
30	간호사	언니는 간호사예요	my sister is nurse
31	갈비	오늘 갈비를 먹어요	eat ribs today
32	갈비탕	갈비탕이 맛있어요	galbitang is delicious
33	갈색	갈색 신발을 샀어요	bought brown shoes
34	갈아입다	옷을 빨리 갈아입어요	change clothes quickly
35	갈아타다	2호선으로 갈아타세요	transfer to line 2
36	감	감이 아주 달아요	persimmon is very sweet
37	감기	요즘 감기 조심하세요	be careful of colds
38	감기약	감기약을 좀 주세요	give me cold medicine
39	감다	눈을 꼭 감아요	close eyes tightly
40	감다	머리를 매일 감아요	wash hair every day
41	감사	정말 감사합니다	really thank you
42	감자	감자를 많이 샀어요	bought many potatoes
43	갑자기	비가 갑자기 왔어요	rain came suddenly
44	값	이 값이 맞아요	this price is correct
45	강	한강이 아름다워요	Han River is beautiful
46	강아지	강아지가 너무 귀여워요	puppy is so cute
47	강하다	강한 바람이 불어요	strong wind is blowing
48	갖다	연필을 좀 갖다 주세요	bring me a pencil
49	같다	제 생각과 같아요	same as my thought
50	같이	우리 같이 가요	let's go together
51	갚다	다음 달에 갚을게요	will pay back next month
52	개	우리 개가 착해요	our dog is nice
53	개	사과 다섯 개를 샀어요	bought five apples
54	개월	벌써 3개월이 됐어요	it's already been 3 months
55	거	그거 정말 좋아요	that's really good
56	거기	거기서 기다리세요	wait there
57	거리	거리가 정말 멀어요	distance is really far
58	거리	이 거리가 유명해요	this street is famous
59	거실	거실이 너무 좁아요	living room is too small
60	거울	거울을 좀 보세요	look in the mirror
61	거의	거의 다 끝났어요	almost finished
62	거절	초대를 거절했어요	rejected the invitation
63	거짓말	거짓말을 안 했어요	didn't lie
64	걱정	너무 걱정하지 마세요	don't worry too much
65	건강	건강이 제일 중요해요	health is most important
66	건너가다	조심해서 건너가세요	cross carefully
67	건너다	길을 조심히 건너요	cross street carefully
68	건너편	건너편 가게예요	it's the store across
69	건물	저 건물이 높아요	that building is tall
70	걷다	매일 30분 걸어요	walk 30 minutes daily
71	걸다	옷을 여기 걸어요	hang clothes here
72	걸리다	독감에 걸렸어요	caught the flu
73	걸어가다	천천히 걸어가요	walk slowly
74	걸어오다	집까지 걸어왔어요	walked all the way home
75	걸음	걸음이 너무 빨라요	steps are too fast
76	검사	다음 주에 검사받아요	get inspection next week
77	검은색	검은색 옷을 샀어요	bought black clothes
78	검정	검정 치마를 샀어요	bought black skirt
79	것	이것이 더 좋은 것 같아요	this seems better
80	겉	겉만 예뻐요	only outside is pretty
81	게으르다	게으른 학생이에요	lazy student
82	게임	주말에 게임을 해요	play games on weekend
83	겨울	겨울이 너무 추워요	winter is too cold
84	결과	시험 결과가 좋아요	test result is good
85	결석	어제 학교를 결석했어요	was absent from school yesterday
86	결심	운동하기로 결심했어요	determined to exercise
87	결정	내일 결정할게요	will decide tomorrow
88	결혼	5년 전에 결혼했어요	got married 5 years ago
89	결혼식	다음 주 결혼식이에요	wedding is next week
90	경기	축구 경기를 봤어요	watched soccer game
91	경찰	빨리 경찰을 부르세요	call police quickly
92	경찰서	경찰서가 어디예요	where is police station
93	경치	여기 경치가 좋아요	scenery here is nice
94	경험	좋은 경험이었어요	it was good experience
95	계단	계단이 너무 높아요	stairs are too high
96	계란	계란을 좀 삶아 주세요	boil some eggs please
97	계산	계산을 좀 해 주세요	calculate for me please
98	계속	내일도 계속할게요	will continue tomorrow too
99	계시다	선생님이 교실에 계세요	teacher is in classroom
100	계절	봄이 좋은 계절이에요	spring is nice season
