number	korean	example_ko	example_en
500	똑똑하다	똑똑한 학생이에요	it's smart student
501	똑바로	똑바로 서세요	stand straight please
502	뚱뚱하다	조금 뚱뚱해요	a little fat
503	뛰다	운동장에서 뛰어요	run on playground
504	뛰어가다	학교로 뛰어가요	run to school
505	뜨겁다	뜨거운 물을 조심해요	be careful of hot water
506	뜨다	눈을 떠 주세요	open eyes please
507	뜻	단어의 뜻을 몰라요	don't know word's meaning
508	라디오	라디오를 들어요	listen to radio
509	라면	라면을 끓여요	boil ramen
510	러시아	러시아에 가 봤어요	have been to Russia
511	레스토랑	유명한 레스토랑이에요	it's famous restaurant
512	마당	마당이 넓어요	yard is wide
513	마르다	빨래가 다 말랐어요	laundry dried completely
514	마리	강아지 두 마리가 있어요	have two puppies
515	마시다	물을 마셔요	drink water
516	마을	작은 마을이에요	it's small village
517	마음	마음이 편해요	heart is comfortable
518	마중	공항에 마중 나가요	go to airport to meet
519	마지막	이게 마지막이에요	this is last
520	마치다	숙제를 마쳤어요	finished homework
521	마트	마트에서 장을 봐요	shop at mart
522	마흔	나이가 마흔이에요	age is forty
523	막걸리	막걸리를 좋아해요	like makgeolli
524	막히다	길이 막혔어요	road is blocked
525	만	인구가 백만이에요	population is ten thousand hundred
526	만나다	친구를 만나요	meet friend
527	만두	만두를 쪄요	steam dumplings
528	만들다	케이크를 만들어요	make cake
529	만약	만약 비가 오면	if it rains
530	만일	만일을 대비해요	prepare just in case
531	만지다	손으로 만지지 마세요	don't touch with hand
532	만화	만화를 좋아해요	like cartoon
533	많다	사람이 많아요	people are many
534	많이	물을 많이 마셔요	drink water a lot
535	말	할 말이 있어요	have talk to say
536	말	말을 타 봤어요	rode a horse
537	말	이달 말에 만나요	meet at end of month
538	말다	걱정하지 마세요	don't worry please
539	말레이시아	말레이시아에 살아요	live in Malaysia
540	말씀	좋은 말씀 감사해요	thank you for kind words
541	맑다	하늘이 맑아요	sky is clear
542	맛	맛이 좋아요	taste is good
543	맛없다	이 음식은 맛없어요	this food is not delicious
544	맛있다	정말 맛있어요	really delicious
545	맞다	대답이 맞아요	answer is right
546	맞추다	시간을 맞춰 주세요	adjust the time please
547	매년	매년 여행을 가요	travel every year
548	매다	신발 끈을 매요	tie the shoelaces
549	매달	매달을 받았어요	received medal
550	매우	매우 기뻐요	very happy
551	매일	매일 운동해요	exercise everyday
552	매주	매주 일요일에 만나요	meet every Sunday weekly
553	매표소	매표소에서 표를 사요	buy ticket at ticket box
554	맥주	맥주를 한잔 마셔요	drink one beer
555	맵다	김치가 매워요	kimchi is spicy
556	머리	머리가 아파요	head hurts
557	머리카락	머리카락이 길어요	hair is long
558	먹다	밥을 먹어요	eat rice
559	먼저	먼저 가세요	go first please
560	멀다	집이 멀어요	house is far
561	멀리	멀리 가지 마세요	don't go far
562	멈추다	차가 멈췄어요	car stopped
563	멋	멋이 있어요	has fashion
564	멋있다	정말 멋있어요	really cool
565	메뉴	메뉴를 보여 주세요	show me menu please
566	메다	가방을 메요	carry the bag
567	메모	메모를 했어요	made memo
568	메시지	메시지를 보냈어요	sent message
569	메일	메일을 확인해요	check mail
570	며칠	며칠 동안 쉬어요	rest for several days
571	명	학생이 열 명이에요	there are ten students
572	명절	명절에 고향에 가요	go to hometown on holiday
573	몇	사과가 몇 개예요	how many apples
574	모기	모기가 많아요	mosquitoes are many
575	모두	모두 왔어요	all came
576	모든	모든 사람이 좋아해요	every person likes it
577	모레	모레 만나요	meet day after tomorrow
578	모르다	이름을 몰라요	don't know the name
579	모습	아름다운 모습이에요	it's beautiful appearance
580	모시다	할머니를 모셔요	look after grandmother
581	모양	모양이 예뻐요	shape is pretty
582	모으다	돈을 모아요	gather money
583	모이다	사람들이 모였어요	people gathered
584	모임	내일 모임이 있어요	have meeting tomorrow
585	모자	모자를 써요	wear hat
586	모자라다	돈이 모자라요	money is insufficient
587	목	목이 아파요	neck hurts
588	목걸이	목걸이를 샀어요	bought necklace
589	목도리	목도리를 매요	wear scarf
590	목소리	목소리가 커요	voice is loud
591	목요일	목요일에 만나요	meet on Thursday
592	목욕	목욕을 했어요	took bath
593	목욕탕	목욕탕에 가요	go to bathhouse
594	목적	여행의 목적이 뭐예요	what is purpose of travel
595	몸	몸이 건강해요	body is healthy
596	못	한국말을 못 해요	can't speak Korean
597	못생기다	못생긴 사람이 아니에요	not ugly person
598	못하다	수영을 못해요	can't swim
599	몽골	몽골에 가 봤어요	have been to Mongolia
