1201	오전	午前
1202	오후	午後
1203	온도	溫度 / 温度
1204	올라가다	오르다 + 가다
1205	올라오다	오르다 + 오다
1206	올리다
1207	올림
1208	올림픽	Olympic
1209	올해	올 + 해
1210	옳다
1211	옷
1212	옷걸이	옷 + 걸이
1213	옷장	옷 + 欌
1214	와
1215	와이셔츠	white shirt / Y-shirt
1216	완전히	完全
1217	왕	王
1218	왜
1219	왜냐하면
1220	외국	外國 / 外国
1221	외국어	外國語 / 外国語
1222	외국인	外國人 / 外国人
1223	외롭다
1224	외우다
1225	외출	外出
1226	왼손	왼 + 손
1227	왼쪽	왼 + 쪽
1228	요금	料金
1229	요리	料理
1230	요리사	料理師 / 料理士
1231	요일	曜日
1232	요즘
1233	우동	うどん / udon
1234	우리
1235	우리나라	우리 + 나라
1236	우산	雨傘
1237	우선	優先
1238	우유	牛乳
1239	우체국	郵遞局 / 郵便局
1240	우표	郵票
1241	운동	運動
1242	운동복	運動服
1243	운동장	運動場
1244	운동화	運動靴
1245	운전	運轉 / 運転
1246	운전사	運轉士 / 運転士
1247	울다
1248	울산	蔚山
1249	울음
1250	움직이다
1251	웃다
1252	웃음
1253	원
1254	원피스	one piece
1255	원하다	願
1256	월	月
1257	월급	月給
1258	월요일	月曜日
1259	위
1260	위쪽	위 + 쪽
1261	위치	位置
1262	위험	危險 / 危険
1263	유리	琉璃 / 硝子
1264	유명	有名
1265	유월	六月
1266	유치원	幼稚園
1267	유학	留學 / 留学
1268	유학생	留學生 / 留学生
1269	유행	流行
1270	육	六
1271	육교	陸橋
1272	육십	六十
1273	윷놀이
1274	은행	銀行
1275	음
1276	음료	飲料
1277	음료수	飲料水
1278	음식	飲食
1279	음식점	飲食店
1280	음악	音樂 / 音楽
1281	음악가	音樂家 / 音楽家
1282	응
1283	의미	意味
1284	의사	醫師 / 医師
1285	의자	椅子
1286	이
1287	이
1288	이	二
1289	이거
1290	이것
1291	이곳	이 + 곳
1292	이기다
1293	이날	이 + 날
1294	이다
1295	이따가
1296	이때	이 + 때
1297	이런
1298	이렇다
1299	이르다
1300	이름
