number	korean	example_ko	example_en
1400	잡지	잡지를 읽어요	read magazine
1401	잡채	잡채를 먹어요	eat japchae
1402	장	종이 한 장 주세요	give me one sheet of paper
1403	장갑	장갑을 껴요	wear gloves
1404	장난감	장난감을 샀어요	bought toy
1405	장마	장마철이 왔어요	rainy season came
1406	장미	빨간 장미를 샀어요	bought red rose
1407	장소	만날 장소를 정해요	decide place to meet
1408	재료	요리 재료를 샀어요	bought cooking materials
1409	재미	재미가 있어요	have fun
1410	재미없다	영화가 재미없어요	movie is not interesting
1411	재미있다	책이 재미있어요	book is interesting
1412	재채기	재채기가 나와요	sneeze comes out
1413	저	저는 학생이에요	I am student
1414	저	저 사람을 봐요	look at that person
1415	저	저, 질문 있어요	well, have question
1416	저거	저거 뭐예요	what is that
1417	저것	저것을 주세요	give me that please
1418	저곳	저곳에 가 봤어요	have been to over there
1419	저금	매달 저금해요	save money every month
1420	저기	저기 가세요	go there please
1421	저녁	저녁을 먹어요	eat dinner
1422	저런	저런 일이 있었어요	that kind of thing happened
1423	저렇다	저렇게 하세요	do like that please
1424	저번	저번에 만났어요	met last time
1425	저분	저분은 선생님이에요	that person is teacher
1426	저쪽	저쪽으로 가세요	go to that side
1427	저희	저희 집에 오세요	come to our house
1428	적다	일기를 적어요	write diary
1429	적다	사람이 적어요	people are less
1430	적당하다	가격이 적당해요	price is suitable
1431	전	음식을 전부 먹었어요	ate all food
1432	전	일 년 전이에요	one year before
1433	전공	한국어를 전공해요	major in Korean
1434	전기	전기가 나갔어요	electricity went out
1435	전부	전부 다 주세요	give me all please
1436	전철	전철을 타요	take train
1437	전체	전체 인원이 많아요	total people are many
1438	전하다	소식을 전해요	deliver news
1439	전혀	전혀 몰라요	don't know at all
1440	전화	전화를 받아요	receive phone call
1441	전화기	전화기를 샀어요	bought cellphone
1442	전화번호	전화번호를 알려 주세요	tell me phone number please
1443	젊다	젊은 사람이 많아요	young people are many
1444	점수	점수가 높아요	score is high
1445	점심	점심을 먹어요	eat lunch
1446	점심때	점심때 만나요	meet at lunch time
1447	점심시간	점심시간이 짧아요	lunch time is short
1448	점점	날씨가 점점 추워져요	weather gradually gets cold
1449	접다	종이를 접어요	fold paper
1450	접시	접시를 씻어요	wash dish
1451	젓가락	젓가락으로 먹어요	eat with chopsticks
1452	정거장	버스 정거장에서 만나요	meet at bus station
1453	정도	이 정도면 충분해요	this degree is enough
1454	정류장	정류장에서 버스를 타요	take bus at station
1455	정리	방을 정리해요	arrange room
1456	정말	정말 좋아요	really good
1457	정문	정문으로 들어가요	enter through front door
1458	정신없이	정신없이 바빠요	busy hectically
1459	정원	정원이 예뻐요	garden is pretty
1460	정하다	날짜를 정해요	decide date
1461	정형외과	정형외과에 가요	go to orthopedics
1462	정확	시간이 정확해요	time is exact
1463	젖다	옷이 젖었어요	clothes got wet
1464	제	제 이름은 김철수예요	my name is Kim Chulsoo
1465	제목	제목이 뭐예요	what is title
1466	제일	제일 좋아해요	like best
1467	제주도	제주도에 가요	go to Jeju Island
1468	조금	조금만 주세요	give me little please
1469	조금씩	조금씩 배워요	learn gradually
1470	조심	조심하세요	be careful please
1471	조용하다	도서관이 조용해요	library is quiet
1472	조용히	조용히 말해요	speak quietly
1473	조카	조카를 돌봐요	look after nephew
1474	졸다	수업 시간에 졸아요	sleep during class
1475	졸업	다음 달에 졸업해요	graduate next month
1476	좀	물 좀 주세요	give me some water
1477	좁다	길이 좁아요	road is narrow
1478	종류	종류가 많아요	types are many
1479	종업원	종업원을 불렀어요	called employee
1480	종이	종이를 주세요	give me paper please
1481	좋다	날씨가 좋아요	weather is good
1482	좋아하다	음악을 좋아해요	like music
1483	죄송하다	정말 죄송해요	really sorry
1484	주	일주에 한 번 가요	go once a week
1485	주다	선물을 줘요	give gift
1486	주로	주로 집에서 쉬어요	mainly rest at home
1487	주말	주말에 놀아요	play on weekend
1488	주머니	주머니에 넣어요	put in pocket
1489	주무시다	잘 주무셨어요	slept well
1490	주문	음식을 주문했어요	ordered food
1491	주변	학교 주변이 깨끗해요	area around school is clean
1492	주부	전업 주부예요	full-time housewife
1493	주사	주사를 맞았어요	received injection
1494	주소	주소를 알려 주세요	tell me address please
1495	주스	오렌지 주스를 마셔요	drink orange juice
1496	주위	주위가 조용해요	surroundings are quiet
1497	주인	가게 주인을 만났어요	met store master
1498	주일	한 주일에 한 번 가요	go once one week
1499	주차	주차할 곳을 찾아요	look for parking place
