number,check,korean,japanese,english,example,translation
1601,,초,,second,시간,time
1602,,초대,,invitation,초대를 하다,invite
1603,,초대장,,invitation card,초대장을 보내다,send an invitation
1604,,초등학교,,elementary school,초등학교에 입학하다,enter elementary school
1605,,초등학생,,elementary student,초등학생이 되다,become an elementary school student
1606,,초록색,,green,색깔,color
1607,,초콜릿,,chocolate,초콜릿을 먹다,eat chocolate
1608,,최고,,"best, highest",최고 점수,highest score
1609,,최근,,recent,최근에 들다,heard recently
1610,,추다,,dance,춤을 추다,dance
1611,,추석,,Chuseok,명절,holiday
1612,,축구,,soccer,운동,work out
1613,,축구공,,soccer ball,축구공을 차다,kick a soccer ball
1614,,축하,,congrats,축하 파티,celebration party
1615,,출구,,exit,출구로 나가다,go to the exit
1616,,출근,,go work,퇴근,leave work
1617,,출발,,depart,도착,arrive
1618,,출석,,attendance,출석을 부르다,call attendance
1619,,출입,,access,출입을 통제하다,control access
1620,,출입국,,immigration,출입국 사무소,immigration office
1621,,출장,,business trip,출장을 가다,go on a business trip
1622,,출퇴근,,commute,출퇴근을 하다,commute to work
1623,,춤,,dance,춤을 추다,dance
1624,,춤추다,,to dance,가수들이 춤추다,singers dance
1625,,춥다,,cold,날씨가 춥다,the weather is cold
1626,,충분하다,,enough,시간이 충분하다,there's enough time.
1627,,취미,,hobby,취미 생활,hobbies
1628,,취소,,cancel,예약 취소,cancel reservation
1629,,취직,,employment,취직이 되다,get a job
1630,,층,,floor,10층 건물,10-floor building
1631,,치과,,dentist,병원,hospital
1632,,치다,,hit,책상을 치다,hit the desk
1633,,치료,,treatment,치료를 받다,receive treatment
1634,,치마,,skirt,치마를 입다,wear a skirt
1635,,치약,,toothpaste,치약을 짜다,squeeze toothpaste
1636,,치킨,,chicken,음식,food
1637,,친구,,friend,친구를 만나다,meet a friend
1638,,친절,,kindness,친절로 대하다,treat with kindness
1639,,친척,,relative,친척이 모이다,relatives gather
1640,,친하다,,close,친구와 친하다,be close to friends
1641,,칠,,seven,숫자,number
1642,,칠십,,seventy,숫자,number
1643,,칠월,,July,달(월),month
1644,,칠판,,blackboard,칠판에 쓰다,write on the blackboard
1645,,침대,,bed,가구,furniture
1646,,침실,,bedroom,침실에서 자다,sleep in the bedroom
1647,,칫솔,,toothbrush,칫솔로 이를 닦다,brush teeth with toothbrush
1648,,칭찬,,compliment,칭찬을 듣다,hear a compliment
1649,,카드,,card,카드를 쓰다,write a card
1650,,카레,,curry (food),음식,food
1651,,카메라,,camera,카메라로 찍다,take picture using camera
1652,,카페,,cafe,카페에서 만나다,meet at a cafe
1653,,칼,,knife,칼로 자르다,cut with a knife
1654,,칼국수,,kalguksu,음식,food
1655,,캐나다,,Canada,나라,country
1656,,커피,,coffee,커피를 마시다,drink coffee
1657,,커피숍,,coffee shop,커피숖에서 만나다,meet at the coffee shop
1658,,컴퓨터,,computer,컴퓨터 게임,computer game
1659,,컵,,cup,컵을 닦다,clean the cup
1660,,케이크,,cake,케이크를 먹다,eat cake
1661,,켜다,,turn on,불을 켜다,turn on a light
1662,,켜다,,turn on,바이올린을 켜다,play the violin
1663,,켤레,,pair,한 켤레,one pair
1664,,코,,nose,코가 높다,nose is high
1665,,코끼리,,elephant,동물,animal
1666,,콘서트,,concert,콘서트를 보다,watch a concert
1667,,콜라,,Cola,콜라를 마시다,drink cola
1668,,콧물,,"snot, nose run",콧물이 나오다,runny nose
1669,,콩,,bean,식물,plant
1670,,크기,,size,크기가 크다,the size is big
1671,,크다,,big,크기가 크다,the size is big
1672,,크리스마스,,Christmas,크리스마스 트리,christmas tree
1673,,큰소리,,loud,큰소리가 들리다,hear a loud noise
1674,,키,,height,키가 큰 사람,a tall person
1675,,키우다,,raise,강아지를 키우다,raise a puppy
1676,,킬로그램,,kilogram,단위,unit
1677,,킬로미터,,kilometer,단위,unit
1678,,타다,,burn,불에 타다,"burn, be on fire"
1679,,타다,,"take, ride",차에 타다,take a car
1680,,타다,,make,커피를 타다,make coffee
1681,,탁구,,ping-pong,탁구를 치다,play table tennis
1682,,탕수육,,tangsuyuk (food),음식,food
1683,,태국,,Thailand,나라,country
1684,,태권도,,Taekwondo,태권도를 배우다,learn taekwondo
1685,,태극기,,"Korean flag, taegeukgi",태극기를 달다,hang taegeukgi
1686,,태도,,attitude,태도가 좋다,have a good attitude
1687,,태어나다,,born,아이가 태어나다,a child is born
1688,,태풍,,typhoon,태풍이 불다,a typhoon blows
1689,,택배,,"parcel, delivery",택배로 보내다,send by courier
1690,,택시,,taxi,택시를 타다,take a taxi
1691,,터미널,,terminal,터미널에서 내리다,get off at the terminal
1692,,테니스,,tennis,테니스를 치다,play tennis
1693,,테니스장,,tennis court,테니스장에서 연습하다,practice at the tennis court
1694,,테이블,,table,테이블에 놓다,put on the table
1695,,텔레비전,,television,텔레비전을 보다,watch television
1696,,토끼,,rabbit,동물,animal
1697,,토마토,,tomato,채소,vegetable
1698,,토요일,,Saturday,요일,day of the week
1699,,통장,,bankbook,통장을 만들다,make a bank account
1700,,통화,,call,전화 통화,a phone call
