number,check,korean,hanja,japanese,english,example,translation
1201,,오전,午前,午前,"am, morning",오후,afternoon
1202,,오후,午後,午後,"pm, afternoon",오전,morning
1203,,온도,溫度,温度,temperature,온도가 높다,the temperature is high
1204,,올라가다,,,"go up, climb",나무에 올라가다,climb a tree
1205,,올라오다,,,come up,산에 올라오다,climb the mountain
1206,,올리다,,,raise,값을 올리다,increase price
1207,,올림,,,Sincerely yours,편지,letter
1208,,올림픽,,,Olympic,올림픽 경기,Olympic games
1209,,올해,,,this year,시간,hour
1210,,옳다,,,right,생각이 옳다,thinking is right
1211,,옷,,,clothes,옷을 입다,Pull on
1212,,옷걸이,,,hanger,옷걸이에 걸다,hang on hanger
1213,,옷장,,,wardrobe,옷장에 넣다,put in closet
1214,,와,,,wow,"와, 정말 반갑다","Wow, nice to meet you."
1215,,와이셔츠,,,dress shirt,와이셔츠를 입다,wear a dress shirt
1216,,완전히,完全,完全,completely,완전히 끝나다,completely finished
1217,,왕,王,王,king,왕이 되다,become king
1218,,왜,,,why,왜 그래?,what's the matter?
1219,,왜냐하면,,,because,−,
1220,,외국,外國,外国,foreign,외국에 가다,go abroad
1221,,외국어,外國語,外国語,foreign language,외국어로 말하다,speak a foreign language
1222,,외국인,外國人,外国人,foreigner,외국인을 만나다,meet a foreigner
1223,,외롭다,,,lonely,삶이 외록다,life is lonely
1224,,외우다,,,memorize,단어를 외우다,memorize words
1225,,외출,外出,外出,outing,외출을 준비하다,prepare to go out
1226,,왼손,,,left hand,오른손,right hand
1227,,왼쪽,,,left,오른쪽,right side
1228,,요금,料金,料金,fee,전화 요금,phone bill
1229,,요리,料理,料理,cooking,요리 방법,cooking method
1230,,요리사,料理師,料理人,chef,직업,job
1231,,요일,曜日,曜日,day of week,시간,time
1232,,요즘,,,nowadays,시간,time
1233,,우동,,,udon (food),우동을 먹다,eat udon
1234,,우리,,,"our, we",우리 가족,our family
1235,,우리나라,,,our country,우리나라 사람,people from our country
1236,,우산,雨傘,雨傘,umbrella,우산을 쓰다,use an umbrella
1237,,우선,優先,優先,"first, above all",먼저,first
1238,,우유,牛乳,牛乳,milk,우유를 마시다,drink milk
1239,,우체국,郵遞局,郵便局,post office,우체국에 가다,go to the post office
1240,,우표,郵票,郵便切手,stamp,우표를 붙이다,attach a stamp
1241,,운동,運動,運動,"exercise, sports",운동 시설,sports facility
1242,,운동복,運動服,運動服,sportswear,운동복을 입다,wear sportswear
1243,,운동장,運動場,運動場,playground,운동장을 뛰다,run on the playground
1244,,운동화,運動靴,運動靴,running shoes,운동화를 신다,wear sneakers
1245,,운전,運轉,運転,driving,초보 운전,novice driver
1246,,운전사,運轉士,運転手,driver,직업,job
1247,,울다,,,cry,아기가 울다,baby cries
1248,,울산,蔚山,蔚山,Ulsan,도시,city
1249,,울음,,,crying,울음을 그치다,stop crying
1250,,움직이다,,,move,몸을 움직이다,move one's body
1251,,웃다,,,laugh,활짝 웃다,smile brightly
1252,,웃음,,,laugh,웃음이 나다,laugh
1253,,원,圓,円,won,천 원,thousand won
1254,,원피스,,,one piece (dress),원피스를 입다,wear a dress
1255,,원하다,願,願,want,도움을 원하다,want help
1256,,월,月,月,month,몇 월,what month
1257,,월급,月給,月給,salary,월급을 받다,receive a salary
1258,,월요일,月曜日,月曜日,Monday,요일,day of the week
1259,,위,,,above,아래,under
1260,,위쪽,,,"topside, upward",위쪽을 향하다,face upward
1261,,위치,位置,位置,position,위치를 정하다,determine position
1262,,위험,危險,危険,danger,위험이 닥치다,danger is imminent
1263,,유리,琉璃,硝子,glass,유리가 깨지다,glass breaks
1264,,유명,有名,有名,famous,유명 가수,famous singer
1265,,유월,六月,六月,June,달(월),month
1266,,유치원,幼稚園,幼稚園,kindergarten,유치원에 입학하다,enter kindergarten
1267,,유학,留學,留学,study abroad,유학을 가다,study abroad
1268,,유학생,留學生,留学生,international student,유학생 신분,foreign student status
1269,,유행,流行,流行,fashion,유행을 따르다,follow trends
1270,,육,六,六,six,숫자,number
1271,,육교,陸橋,陸橋,overpass,육교를 건너다,cross the overpass
1272,,육십,六十,六十,sixty,숫자,number
1273,,윷놀이,,,yut play,윷놀이를 하다,play yut
1274,,은행,銀行,銀行,bank,은행에 입금하다,deposit money in a bank
1275,,음,,,Uh,"음, 그럴 듯하다","Well, that seems likely."
1276,,음료,飲料,飲料,beverage,음료를 마시다,have a drink
1277,,음료수,飲料水,飲料水,drink,물,water
1278,,음식,飮食,飲食,food,음식을 먹다,eat food
1279,,음식점,飮食店,飲食店,restaurant,음식점에서 식사하다,eat at a restaurant
1280,,음악,音樂,音楽,music,음악을 듣다,listen to music
1281,,음악가,音樂家,音楽家,musician,음악가가 연주하다,musician plays
1282,,응,,,yes,대답,answer
1283,,의미,意味,意味,meaning,의미가 있다,meaningful
1284,,의사,醫師,医師,doctor,치과 의사,dentist
1285,,의자,椅子,椅子,chair,의자에 앉다,sit on a chair
1286,,이,,,tooth,이를 닦다,brush teeth
1287,,이,,,this,"그, 저","that, that"
1288,,이,二,二,two,둘,two
1289,,이거,,,this,이것,this
1290,,이것,,,this,이것은 뭐 예요?,What is this?
1291,,이곳,,,this place,장소,location
1292,,이기다,,,win,경기에서 이기다,win the game
1293,,이날,,,on this day,이날 공연,Today's performance
1294,,이다,,,to be,책이다,It's a book
1295,,이따가,,,later,이따가 가다,go later
1296,,이때,,,at this time,이때를 놓치다,miss this time
1297,,이런,,,this,이런 일,something like this
1298,,이렇다,,,like this,결과가 이렇다,the result is like this
1299,,이르다,,,early,빠르다,fast
1300,,이름,,,name,이름을 묻다,ask for name
