number,check,korean,japanese,english,example,translation
601,,무겁다,,heavy,짐이 무겁다,the load is heavy
602,,무게,,weight,무게가 나가다,to weigh
603,,무궁화,,Mugunghwa,꽃,flower
604,,무료,,free,무료로 주다,give for free
605,,무릎,,knee,신체,body
606,,무섭다,,scary,귀신이 무섭다,ghost is scary
607,,무슨,,what,무슨 요일,what day
608,,무엇,,"what, anything",무엇이든지,"whatever, anything"
609,,무척,,very,무척 길다,very long
610,,문,,door,문을 열다,open the door
611,,문제,,problem,문제를 풀다,solve the problem
612,,문화,,culture,문화를 교류하다,exchange cultures
613,,묻다,,ask,길을 묻다,ask for direction
614,,물,,water,물을 마시다,drink water
615,,물건,,thing,물건을 사다,buy something
616,,물고기,,fish,물고기를 잡다,catch a fish
617,,물론,,of course,물론 그렇다,"of course, it does"
618,,물어보다,,ask,길을 물어보다,ask direction
619,,뭐,,what,뭐라고 말하다,what did you say
620,,미국,,USA,나라,country
621,,미끄러지다,,slip,눈길에 미끄러지다,slip on snow
622,,미래,,future,미래가 밝다,the future is bright
623,,미리,,in advance,미리 알리다,inform in advance
624,,미술관,,art gallery,국립 미술관,national art gallery
625,,미안,,sorry,인사,greeting
626,,미역국,,seaweed soup,미역국을 끓이다,boil seaweed soup
627,,미용실,,beauty salon,미용실에 가다,go to the beauty salon
628,,미터,,meter,백 미터,hundred meters
629,,믿다,,"trust, believe",약속을 믿다,believe in promise
630,,밀가루,,flour,밀가루 음식,flour food
631,,밀다,,push,문을 밀다,push the door
632,,밑,,bottom,밑에 두다,put under
633,,바깥,,outside,바깥에 나가다,go outside
634,,바깥쪽,,the outside,바깥쪽으로 나가다,go outwards
635,,바꾸다,,change (something),달러를 원화로 바꾸다,change dollars to won
636,,바뀌다,,be changed,새 것으로 바뀌다,be changed to new one
637,,바나나,,banana,과일,fruit
638,,바다,,ocean,바다를 건너다,cross the sea
639,,바닥,,floor,바닥에 떨어지다,fall on the floor
640,,바닷가,,beach,바닷가로 나가다,go to the beach
641,,바라다,,hope,성공을 바라다,hope for success
642,,바라보다,,look at,하늘을 바라보다,look at the sky
643,,바람,,wind,바람이 불다,wind is blowing
644,,바로,,right,바로 시작하다,start right away
645,,바르다,,apply (location),로션을 바르다,apply lotion
646,,바쁘다,,busy,일이 바쁘다,work is busy
647,,바이올린,,violin,바이올린을 켜다,play the violin
648,,바지,,pants,바지를 입다,put on pants
649,,박물관,,museum,박물관을 구경하다,visit a museum
650,,박수,,"applause, clap",박수를 치다,clap your hands
651,,밖,,outside,안,inside
652,,반,,half,사과 반,half of an apple
653,,반,,class,우리 반,our class
654,,반갑다,,"glad, welcome",손님이 반갑다,welcome a customer
655,,반대,,the opposite,반대로 가다,go to the opposite direction
656,,반드시,,"certainly, definitely",반드시 가다,definitely go
657,,반바지,,shorts,반바지를 입다,wear shorts
658,,반지,,ring,반지를 끼다,wear a ring
659,,반찬,,side dish,반찬을 먹다,eat side dishes
660,,받다,,receive,선물을 받다,receive the gift
661,,받아쓰다,,dictate,노트에 받아쓰다,dictate in a notebook
662,,발,,foot,발이 크다,feet are big
663,,발가락,,toes,신체,body
664,,발바닥,,sole,신체,body
665,,밝다,,bright,불빛이 밝다,light is bright
666,,밤,,night,밤이 깊다,night is deep
667,,밥,,"rice, meal",밥을 하다,cook a meal
668,,방,,room,방이 넓다,the room is large
669,,방금,,just,방금 가다,just went
670,,방문,,door,방문을 닫다,close the door
671,,방문,,visit,고향 방문,hometown visit
672,,방법,,"way, method",사용 방법,"using method, manual"
673,,방송,,broadcast,방송을 보다,watch the broadcast
674,,방송국,,broadcast station,라디오 방송국,radio station
675,,방학,,vacation,겨울 방학,winter vacation
676,,방향,,direction,방향을 바꾸다,change direction
677,,배,,belly,신체,body
678,,배,,ship,배를 타다,ride a boat
679,,배,,pear,배를 먹다,eat a pear
680,,배,,(two) times,두 배,double
681,,배달,,delivery,배달을 시키다,order delivery
682,,배드민턴,,badminton,배드민턴을 치다,play badminton
683,,배우,,actor,연극 배우,playactor
684,,배우다,,learn,글을 배우다,learn writing
685,,배추,,cabbage,배추를 다듬다,trim cabbage
686,,배탈,,stomachache,배탈이 나다,have a stomachache
687,,백,,one hundred,숫자,number
688,,백만,,million,백만 개,one million
689,,백화점,,department store,백화점에서 사다,buy at a department store
690,,뱀,,snake,동물,animal
691,,버릇,,habit,버릇이 되다,become a habit
692,,버리다,,throw away,휴지를 버리다,throw away tissue
693,,버스,,bus,버스를 타다,take the bus
694,,번,,number,첫째 번,number one
695,,번째,,(number)-th,세 번째,third
696,,번호,,number,번호를 매기다,number (something)
697,,벌,,(unit of clothes),옷 한 벌,a suit of clothes
698,,벌다,,earn,돈을 벌다,Earn money
699,,벌써,,already,벌써 가다,go already
700,,벗다,,Take off,모자를 벗다,takeoff one's hat
