number,check,korean,japanese,english,example,translation
201,,그만두다,,"quit, leave",학교를 그만두다,leave school
202,,그분,,him,그분을 만나다,meet him
203,,그저께,,day before yesterday,그저께 밤,the night before yesterday
204,,그쪽,,"that way, there",그쪽으로 가다,go there
205,,그치다,,stop,비가 그치다,the rain stops
206,,극장,劇場,theater,극장에서 상영하다,show at the theater
207,,근처,近所,"around, near",집 근처,near house
208,,글,,writing,글을 쓰다,write a text
209,,글쎄,,well,"글쎄, 잘 몰라요","Well, I don't know"
210,,글쎄요,,well,글쎄요. 몰라요.,Well. I don't know
211,,글씨,,writing,글씨를 쓰다,write a letter
212,,글자,文字,letter,글자를 쓰다,write a character
213,,금방,,a moment ago,방금,just now
214,,금요일,金曜日,friday,요일,day of the week
215,,금지,禁止,"ban, prohibition",통행 금지,prohibition of passing
216,,급하다,,in a hurry,사정이 급하다,be in a hurry
217,,기간,期間,period,기간이 지나다,period has passed
218,,기다리다,,wait,버스를 기다리다,wait for a bus
219,,기르다,,"cultivate, raise",개를 기르다,raise a dog
220,,기름,,oil,기름에 튀기다,fry in oil
221,,기말시험,期末試験,final exam,기말 시험을 보다,take a final exam
222,,기분,気分,mood,기분이 좋다,feel good
223,,기뻐하다,,be happy,졸업을 기뻐하다,be happy at graduation
224,,기쁘다,,happy,마음이 기쁘다,be happy
225,,기쁨,喜び,pleasure,기쁨을 나누다,share the happiness
226,,기숙사,寄宿舎,dormitory,기숙사에서 살다,live in a dormitory
227,,기억,記憶,memory,기억이 나다,remember
228,,기억나다,記憶,remember,이름이 기억나다,remember one's name
229,,기온,気温,temperature,기온이 높다,the temperature is high
230,,기자,記者,reporter,신문 기자,newspaper reporter
231,,기차,汽車,train,기차를 타다,take a train
232,,기차역,汽車駅,train station,기차역에 도착하다,arrive at the train station
233,,기차표,汽車票,train ticket,기차표를 끊다,punch a train ticket
234,,기침,咳,cough,기침이 나다,have a cough
235,,기타,,other,기타를 치다,play a guitar
236,,기회,機会,opportunity,기회를 놓치다,miss an opportunity
237,,긴장,緊張,tension,긴장을 풀다,relieve tension
238,,길,,"street, road",길이 막히다,the road is blocked
239,,길다,,long,다리가 길다,have long legs
240,,길이,,length,길이를 재다,measure the length
241,,김,,"laver, seaweed",김을 먹다,eat seaweed
242,,김밥,,kimbap,김밥을 싸다,wrap kimbap
243,,김치,,kimchi,김치를 담그다,make kimchi
244,,김치찌개,,kimchi stew,김치찌개를 끓이다,cook kimchi stew
245,,깊다,,deep,바다가 깊다,the sea is deep
246,,깊이,,depth,깊이 묻다,bury something deep
247,,까만색,,black color,색깔,color
248,,까맣다,,black,밤하늘이 까맣다,night sky is black
249,,깎다,,cut,사과를 깎다,peel an apple
250,,깜짝,,surprise,깜짝 놀라다,be surprised
251,,깨끗이,,clean,깨끗이 씻다,wash cleanly
252,,깨끗하다,,clean,옷이 깨끗하다,clothes are clean
253,,깨다,,wake up,잠이 깨다,be awake from sleep
254,,꺼내다,,take out,가방에서 꺼내다,take out of bag
255,,껌,,chewing gum,껌을 씹다,chew gum
256,,꼭,,surely,꼭 필요하다,absolutely necessary
257,,꽃,,flower,꽃이 피다,flowers bloom
258,,꽃다발,,bouquet,꽃다발을 선물하다,present a bouquet
259,,꽃병,,vase,꽃병을 깨뜨리다,break a vase
260,,꽃집,,"florist, flower shop",꽃집을 열다,open a flower shop
261,,꾸다,,dream,꿈을 꾸다,to dream
262,,꿈,,a dream,꿈을 꾸다,to dream
263,,끄다,,turn off,불을 끄다,turn off the light
264,,끊다,,quit,담배를 끊다,quite smoking
265,,끓다,,(sth) boil,물이 끓다,water boils
266,,끓이다,,boil (sth),물을 끓이다,boil water
267,,끝,,end,시작,start
268,,끝나다,,"(sth) end, finish",수업이 끝나다,class is over
269,,끝내다,,finish (sth),일을 끝내다,finish one's work
270,,끼다,,wear,반지를 끼다,wear a ring
271,,나,,I,나와 너,you and I
272,,나가다,,go out,밖으로 나가다,go outside
273,,나누다,,"divide, split",둘로 나누다,split in two
274,,나다,,happen,수염이 나다,have a beard
275,,나라,,country,우리 나라,our country
276,,나머지,,"remainder, the rest",나머지 돈,the money left
277,,나무,,tree,나무를 심다,plant a tree
278,,나쁘다,,bad,공기가 나쁘다,the air is bad
279,,나오다,,come out,밖에 나오다,come out
280,,나이,,age,나이가 많다,be old
281,,나중,,later,나중에 깨닫다,realize later
282,,나타나다,,appear,건물이 나타나다,a building appears
283,,나흘,,four days,나흘이 걸리다,take four days
284,,낚시,,fishing,낚시를 가다,go fishing
285,,날,,day,마지막 날,last day
286,,날다,,fly,새가 날다,a bird flies
287,,날씨,,weather,날씨가 좋다,weather is good
288,,날씬하다,,slim,몸매가 날씬하다,have a slim body
289,,날아다니다,,fly around,나비가 날아다니다,a butterfly flies around
290,,날짜,,date,날짜를 정하다,set a date
291,,남,,other,타인,others
292,,남기다,,leave,음식을 남기다,leave some food
293,,남녀,男女,male and female,남녀 평등,gender equality
294,,남다,,"remain, be left",시간이 남다,have time left
295,,남대문,南大門,Namdaemun,고적,historical site
296,,남동생,弟,brother,남동생을 돌보다,take care of younger brother
297,,남산,南山,Namsan,지명,place name
298,,남성,男性,male,여성,female
299,,남자,男,man,여자,woman
300,,남쪽,南,South,북쪽,North
