number,check,korean,japanese,english,example,translation
101,,계획,計画,plan,계획을 세우다,make a plan
102,,고개,,head,고개를 들다,raise one's head
103,,고기,,meat,고기를 먹다,eat meat
104,,고등학교,高等学校,high school,고등학교에 입학하다,enter high school
105,,고등학생,高等学生,high school student,고등학생이 되다,become high school student
106,,고르다,,pick,선물을 고르다,choose a gift
107,,고맙다,,thank you,마음이 고맙다,thanks for your heart
108,,고모,,aunt,친척,relatives
109,,고민,苦悶,worry,고민을 나누다,share concerns
110,,고속버스,高速バス,express bus,고속버스를 타다,take the express bus
111,,고양이,,cat,고양이를 기르다,raise a cat
112,,고장,故障,"breakdown, failure",고장이 나다,break down
113,,고추장,,red pepper paste,고추장을 넣다,add red pepper paste
114,,고치다,,fix,컴퓨터를 고치다,fix the computer
115,,고프다,,hungry,배가 고프다,(belly) be hungry
116,,고향,故郷,hometown,고향에 가다,go to hometown
117,,곧,,soon,곧 가다,go soon
118,,곳,,place,어느 곳,which place
119,,공,,ball,공을 굴리다,roll a ball
120,,공무원,公務員,public official,공무원으로 일하다,work as a public official
121,,공부,勉強,study,공부를 하다,study
122,,공원,公園,park,공원에서 놀다,play in the park
123,,공장,工場,factory,공장에서 일하다,work in a factory
124,,공짜,,free,공짜로 주다,give free
125,,공책,ノート,notebook,공책에 쓰다,write in a notebook
126,,공항,空港,airport,공항 터미널,airport terminal
127,,공휴일,公休日,holiday,공휴일로 정하다,set as a holiday
128,,과거,過去,past,과거를 잊다,forget the past
129,,과일,果物,fruit,과일을 깎다,peel the fruit
130,,과자,菓子,sweets,과자를 먹다,eat snacks
131,,관계,関係,relationship,관계를 맺다,form a relationship
132,,관광,観光,tourism,국내 관광,domestic tourism
133,,관광객,観光客,tourist,외국인 관광객,foreign tourist
134,,관광지,観光地,tourist destination,국내 관광지,domestic tourist site
135,,관심,関心,interest,관심을 가지다,have interest
136,,광고,広告,advertisement,신문 광고,newspaper advertisement
137,,광주,光州,Gwangju,지명,place name
138,,괜찮다,,okay,성격이 괜찮다,have a good personality
139,,괴로워하다,,suffer,통증으로 괴로워하다,suffer from pain
140,,교과서,教科書,textbook,교과서에서 배우다,learn from textbook
141,,교사,教師,teacher,수학 교사,math teacher
142,,교수,教授,professor,대학 교수,university professor
143,,교실,教室,classroom,교실에 들어가다,enter the classroom
144,,교육,教育,education,교육을 받다,get educated
145,,교통,交通,transportation,교통 수단,means of transportation
146,,교통비,交通費,transportation fee,교통비가 들다,cost trasportation fee
147,,교통사고,交通事故,traffic accident,교통사고가 나다,have an accident
148,,교환,交換,exchange,교환을 하다,exchange
149,,교회,教会,church,기독교,Christian
150,,구,,nine,숫자,number
151,,구경,見物,sightseeing,구경을 다니다,go sightseeing
152,,구두,,shoes,구두를 신다,wear shoes
153,,구름,,cloud,구름이 끼다,be cloudy
154,,구십,九十,ninety,구십 살,ninety years
155,,구월,九月,September,달(월),month
156,,국,,soup,국을 끓이다,boil soup
157,,국내,国内,domestic,국내 여행,domestic travel
158,,국수,,noodle,국수를 먹다,eat noodle
159,,국적,国籍,nationality,대한민국 국적,Korean nationality
160,,국제,国際,international,국제 관계,international relations
161,,군인,軍人,soldier,직업 군인,professional soldier
162,,굳다,,harden/hard,땅이 굳다,the ground is hard
163,,굵다,,"thick, big",손가락이 굵다,fingers are thick
164,,굽다,,"bake, roast, grill",고기를 굽다,grill meat
165,,궁금하다,,curious,소식이 궁금하다,be curious about the news
166,,권,巻,volume,책 한 권,a book
167,,귀,,ear,귀로 듣다,listen with ears
168,,귀걸이,,earring,귀걸이를 달다,wear earrings
169,,귀여워하다,,"love, adore",강아지를 귀여워하다,adore a puppy
170,,귀엽다,,cute,얼굴이 귀엽다,have a cute face
171,,귀찮다,,"bother, feel annoyed",일이 귀찮다,tired of work
172,,규칙,規則,rule,규칙을 어기다,break the rule
173,,귤,,tangerine,귤을 까다,peel a tangerine
174,,그,,that,그 사람,that person
175,,그거,,it,그것,that
176,,그것,,that,그것을 사겠다,I will buy that
177,,그곳,,there,그곳에 가다,go there
178,,그날,,that day,그날 일,that day's work
179,,그냥,,just,그냥 가다,just go
180,,그대로,,as it is,그대로 두다,leave it as it is
181,,그동안,,meantime,그동안 잘 지내다,be fine in the meantime
182,,그때,,at that time,그때 그시절,back then
183,,그래,,"yes, ok",대답,answer
184,,그래서,,therefore,−,
185,,그러나,,but,−,
186,,그러니까,,so,−,
187,,그러면,,then,−,
188,,그러므로,,therefore,−,
189,,그런,,such,그런 사람,such the person
190,,그런데,,by the way,−,
191,,그럼,,then,그러면,then
192,,그럼,,"yes, of course","그럼, 당연하지","well, of course"
193,,그렇다,,yes,사정이 그렇다,that's the case
194,,그렇지만,,but,−,
195,,그릇,,bowl,그릇에 담다,put in a bowl
196,,그리고,,and,−,
197,,그리다,,draw,그림을 그리다,draw a picture
198,,그림,,figure,그림을 그리다,draw a picture
199,,그립다,,miss,가족이 그립다,miss family
200,,그만,,stop,그만 먹다,stop eating
