number,check,korean,hanja,japanese,english,example,translation
1101,,어리다,,,young,나이가 어리다,be young
1102,,어린아이,,,a child,어린아이와 놀다,play with a child
1103,,어린이,,,child,사람,person
1104,,어머니,,,mother,가족,family
1105,,어머님,,,mother,가족,family
1106,,어서,,,quickly,어서 일어나,wake up quickly
1107,,어울리다,,,"socialize, hang out",사람들과 어울리다,hang out with people
1108,,어제,,,yesterday,오늘,today
1109,,어젯밤,,,yesternight,시간,hour
1110,,억,,,one hundred million,숫자,number
1111,,언니,,,sister,가족,family
1112,,언어,,,language,언어로 표현하다,express in language
1113,,언제,,,when,언제예요?,when?
1114,,언제나,,,always,언제나 함께,always together
1115,,얻다,,,"get, gain",물건을 얻다,get something
1116,,얼굴,,,face,신체,body
1117,,얼다,,,freeze,얼음이 얼다,ice freezes
1118,,얼마,,,how much,얼마예요?,how much is this?
1119,,얼마나,,,how much,얼마나 예쁜지,how pretty
1120,,얼음,,,ice,얼음이 녹다,ice melts
1121,,엄마,,,Mom,가족,family
1122,,없다,,,no,재미가 없다,it's not fun
1123,,엉덩이,,,butt,신체,body
1124,,에어컨,,,air conditioner,에어컨을 켜다,turn on the air conditioner
1125,,엘리베이터,,,elevator,엘리베이터를 타다,take the elevator
1126,,여권,,,passport,여권을 발급하다,issue a passport
1127,,여기,,,here,장소,location
1128,,여기저기,,,here and there,장소,location
1129,,여덟,,,eight,숫자,number
1130,,여동생,,,younger sister,가족,family
1131,,여든,,,eighty,숫자,number
1132,,여러,,,various,여러 나라,various countries
1133,,여러분,,,everyone,국민 여러분,Dear citizens
1134,,여름,,,summer,계절,season
1135,,여보세요,,,hello,전화,phone call
1136,,여섯,,,six,숫자,number
1137,,여성,,,female,남성,male
1138,,여자,,,woman,남자,man
1139,,여쭙다,,,(honorific) ask,선생님께 여쭙다,ask the teacher
1140,,여학생,,,female student,남학생,boy
1141,,여행,,,travel,여행을 가다,go to travel
1142,,여행사,,,travel agency,여행사에서 일하다,work at a travel agency
1143,,여행지,,,travel destination,여행지로 떠나다,leave for a travel destination
1144,,역,,,station,역에 내리다,get off at the station
1145,,역사,,,history,한국의 역사,Korean history
1146,,역시,,,"too, also",나 역시,me too
1147,,연결,,,connection,연결을 끊다,disconnect
1148,,연극,,,theater,연극을 보다,watch a play
1149,,연락,,,contact,연락을 주다,give contact
1150,,연락처,,,contact,연락처를 남기다,leave contact details
1151,,연말,,,year-end,연말이 되다,It's the end of the year
1152,,연세,,,age,연세가 드시다,get older
1153,,연습,,,practice,피아노 연습,piano practice
1154,,연예인,,,celebrity,직업,job
1155,,연필,,,pencil,연필로 쓰다,write with a pencil
1156,,연휴,,,holiday,연휴 동안 쉬다,rest for the holidays
1157,,열,,,ten,숫자,number
1158,,열,,,fever,열이 나다,have a fever
1159,,열다,,,(sb) open (sth),문을 열다,open the door
1160,,열리다,,,(sth) open,문이 열리다,the door opens
1161,,열쇠,,,key,열쇠로 열다,open with a key
1162,,열심히,,,hard,열심히 공부하다,study hard
1163,,열차,,,train,열차를 타다,take a train
1164,,열흘,,,ten days,시간,hour
1165,,엽서,,,postcard,엽시를 보내다,send a postcard
1166,,영,,,zero,숫자,number
1167,,영국,,,UK,나라,country
1168,,영수증,,,receipt,영수증을 받다,receive a receipt
1169,,영어,,,English,언어,language
1170,,영하,,,sub-zero,영하로 떨어지다,fall below zero
1171,,영화,,,movie,영화를 보다,watch a movie
1172,,영화관,,,cinema,영화관에 가다,go to the cinema
1173,,영화배우,,,movie actor,직업,job
1174,,옆,,,next,오른쪽 옆,next to the right
1175,,옆집,,,next door,옆집에 살다,live next door
1176,,예,,,example,대답,answer
1177,,예매,,,"book, reservation",영화표 예매,movie ticket reservation
1178,,예쁘다,,,pretty,얼굴이 예쁘다,you have a pretty face
1179,,예순,,,sixty,숫자,number
1180,,예술,,,art,예술 작품,artwork
1181,,예습,,,preparation,복습,review
1182,,예약,,,reservation,호텔 예약,Hotel reservation
1183,,옛,,,old,옛 친구,old friend
1184,,옛날,,,long ago,먼 옛날,long ago
1185,,오,,,five,숫자,number
1186,,오늘,,,today,시간,hour
1187,,오다,,,come,한국에 오다,come to Korea
1188,,오래,,,long,오래 쓰다,use for a long time
1189,,오래간만,,,long time no see,오래간만에 만나다,meeting after a long time
1190,,오래되다,,,get old,집이 오래되다,the house is old
1191,,오랜만,,,long time,오랜만에 만나다,long time no see
1192,,오랫동안,,,for a long time,오랫동안 사귀다,date for a long time
1193,,오렌지,,,orange,과일,fruit
1194,,오르다,,,increase,값이 오르다,price rises
1195,,오른손,,,right hand,왼손,left hand
1196,,오른쪽,,,right side,왼쪽,left
1197,,오빠,,,brother,가족,family
1198,,오십,,,fifty,숫자,number
1199,,오월,,,May,달(월),month
1200,,오이,,,cucumber,채소,vegetable
