number,check,korean,hanja,japanese,english,example,translation
701,,베트남,越南,ベトナム,Vietnam,나라,country
702,,벽,壁,壁,wall,벽에 걸다,hang on the wall
703,,변하다,變,変,change,모양이 변하다,change shape
704,,변호사,辯護士,弁護士,lawyer,직업,job
705,,별,,,star,별이 빛나다,stars shine
706,,별로,,,not very,별로 없다,there isn't much
707,,병,病,病,"sick, disease",병에 걸리다,get sick
708,,병,甁,瓶,bottle,병을 깨다,break a bottle
709,,병문안,病問安,病問安,visit (a sick person),병문안을 가다,visit the sick
710,,병원,病院,病院,hospital,병원에 가다,go to the hospital
711,,보내다,,,send,편지를 보내다,send a letter
712,,보다,,,"see, watch",신문을 보다,reading a newspaper
713,,보다,,,more,보다 높이,higher
714,,보라색,,,purple,색깔,color
715,,보이다,,,be seen,산이 보이다,see mountains
716,,보이다,,,show,사진을 보이다,show a picture
717,,보통,普通,普通,"usually, average",보통이 넘다,above average
718,,복습,復習,復習,review,예습,preview
719,,복잡하다,複雜,複雑,complex,생각이 복잡하다,thought is complicated
720,,볶다,,,fry,고기를 볶다,stir-fry meat
721,,볶음밥,,,fried rice,음식,food
722,,볼펜,,,ballpoint pen,볼펜으로 쓰다,write with a ballpoint pen
723,,봄,,,spring,계절,season
724,,봉투,封套,封筒,envelope,봉투를 열다,open an envelope
725,,뵙다,,,(honorific) meet,어른을 뵙다,meet an adult
726,,부끄럽다,,,embarrassed,부끄럽게 웃다,laugh embarrassingly
727,,부드럽다,,,soft,머릿결이 부드럽다,have soft hair
728,,부럽다,,,envy,다른 사람이 부럽다,I'm jealous of other people
729,,부르다,,,call,친구를 부르다,call for a friend
730,,부르다,,,full,배가 부르다,be full
731,,부모님,父母,父母,parents,부모님께 효도하다,be filial to one's parents
732,,부부,夫婦,夫婦,couple,부부 싸움,couple fighting
733,,부분,部分,部分,part,부분으로 나누다,divide into parts
734,,부산,釜山,釜山,Busan,지명,place name
735,,부엌,,,kitchen,부엌에서 요리하다,cook in the kitchen
736,,부인,夫人,夫人,wife,아내,wife
737,,부자,富者,富者,the rich,부자가 되다,become rich
738,,부장,部長,部長,manager,부장으로 승진하다,be promoted to manager
739,,부족,不足,不足,lack,산소 부족,lack of oxygen
740,,부지런하다,,,diligent,사람이 부지런하다,people are diligent
741,,부치다,,,send,편지를 부치다,send a letter
742,,부탁,付託,付託,request,부탁을 받다,ask for a favor
743,,북쪽,北,北,north,방향,direction
744,,분,,,person,아는 분,anyone you know
745,,분,分,分,minute,60분,60 minutes
746,,분명하다,分明,分明,clear,발음이 분명하다,pronunciation is clear
747,,분식,粉食,粉食,"bunsik, snacks",분식을 먹다,eat snacks
748,,분위기,雰圍氣,雰囲気,atmosphere,어색한 분위기,awkward atmosphere
749,,분홍색,粉紅色,桃色,pink,색깔,color
750,,불,,,fire,불을 피우다,make a fire
751,,불고기,,,bulgogi (food),음식,food
752,,불다,,,blow,바람이 불다,wind is blowing
753,,불쌍하다,,,pitiful,표정이 불쌍하다,the expression is pitiful
754,,불안,不安,不安,anxiety,불안이 커지다,anxiety increases
755,,불편,不便,不便,discomfort,불편이 따르다,cause inconvenience
756,,붉다,,,red,색깔이 붉다,color is red
757,,붙다,,,"stick, paste",먼지가 붙다,dust sticks
758,,붙이다,,,"stick, paste",우표를 붙이다,attach a stamp
759,,블라우스,,,blouse,블라우스를 입다,wear a blouse
760,,비,,,rain,비가 그치다,the rain stops
761,,비교,比較,比較,comparison,비교 대상,comparison target
762,,비누,,,soap,비누로 씻다,wash with soap
763,,비다,,,empty,집이 비다,the house is empty
764,,비디오,,,video,비디오 두 편,two videos
765,,비밀,秘密,秘密,secret,비밀을 지키다,keep a secret
766,,비빔밥,,,bibimbap (mixed rice),음식,food
767,,비슷하다,,,similar,성격이 비슷하다,have similar personalities
768,,비싸다,,,expensive,값이 비싸다,the price is expensive
769,,비행기,飛行機,飛行機,airplane,비행기를 타다,ride a plane
770,,빌딩,,,building,빌딩을 짓다,build a building
771,,빌리다,,,borrow,돈을 빌리다,borrow money
772,,빠르다,,,fast,걸음이 빠르다,walk quickly
773,,빠지다,,,fall in,강에 빠지다,fall into the river
774,,빨간색,,,read color,색깔,color
775,,빨갛다,,,red,사과가 빨갛다,apples are red
776,,빨다,,,"wash, clean",옷을 빨다,wash clothes
777,,빨래,,,wash,빨래를 하다,do laundry
778,,빨리,,,hurry,빨리 걷다,walk fast
779,,빵,,,bread,빵을 먹다,eat bread
780,,빵집,,,bakery,빵집에서 일하다,work at a bakery
781,,빼다,,,"subtract, remove",이를 빼다,remove teeth
782,,뽑다,,,pull out,이를 뽑다,pull out teeth
783,,사,四,四,four,숫자,number
784,,사거리,四,四,intersection,사거리를 건너다,cross the intersection
785,,사계절,四季節,四季,four seasons,사계절이 뚜렷하다,four seasons are distinct
786,,사고,事故,事故,accident,사고가 나다,an accident occurs
787,,사과,,,apple,과일,fruit
788,,사귀다,,,date,친구를 사귀다,make friends
789,,사다,,,buy,물건을 사다,buy something
790,,사람,,,person,사람이 살다,people live
791,,사랑,,,love,연인 간의,between lovers
792,,사무실,事務室,事務室,office,사무실에 출근하다,go to the office
793,,사실,事實,事実,fact,사실을 밝히다,reveal the facts
794,,사십,四十,四十,fourty,숫자,number
795,,사업,事業,事業,business,사업 수완,business skills
796,,사용,使用,使用,usage,사용을 하다,to use
797,,사월,四月,四月,April,달(월),month
798,,사이,,,between,사이에 놓다,put between
799,,사이다,,,cider (beverage),사이다를 마시다,drink cider
800,,사이즈,,,size,사이즈가 크다,the size is big
