number,check,korean,japanese,english,example,translation
1001,,싱겁다,,bland,맛이 싱겁다,the taste is bland
1002,,싸다,,wrap,짐을 싸다,pack up
1003,,싸다,,cheap,가격이 싸다,the price is cheap
1004,,싸우다,,fight,친구와 싸우다,fight with friend
1005,,쌀,,rice,보리 쌀,barley rice
1006,,쌀쌀하다,,cold,날씨가 쌀쌀하다,the weather is chilly
1007,,쌓다,,stack,물건을 쌓다,pile up things
1008,,썰다,,cut,오이를 썰다,cut cucumbers
1009,,쓰다,,write,글자를 쓰다,write letters
1010,,쓰다,,wear,모자를 쓰다,wear a hat
1011,,쓰다,,use,컴퓨터를 쓰다,use a computer
1012,,쓰다,,bitter,맛이 쓰다,the taste is bitter
1013,,쓰레기,,garbage,쓰레기를 줍다,pick up garbage
1014,,쓰레기통,,trash can,쓰레기통에 버리다,throw in the trash can
1015,,씨,,"Mr, Mrs",마이클 씨,Mr. Michael
1016,,씹다,,chew,껌을 씹다,chew gum
1017,,씻다,,wash,손을 씻다,wash hands
1018,,아,,Ah,"아, 그래요?",Oh yeah?
1019,,아가씨,,Miss,아줌마,Madame
1020,,아기,,baby,아기가 울다,baby cries
1021,,아까,,a while ago,아까 먹다,ate a while ago
1022,,아나운서,,announcer,직업,job
1023,,아내,,wife,남편,husband
1024,,아니,,no,대답,answer
1025,,아니다,,not,−,−
1026,,아니요,,no,대답,answer
1027,,아들,,son,아들을 낳다,give birth to a son
1028,,아래,,below,위치,location
1029,,아래쪽,,down,방향,direction
1030,,아르바이트,,part-time,아르바이트를 구하다,find a part-time job
1031,,아름답다,,beautiful,모습이 아름답다,the appearance is beautiful
1032,,아마,,maybe,아마 -을 것이다,probably - will
1033,,아무,,"no (one, where…)",아무도/아무 데도,no one/nowhere
1034,,아무것,,anything,아무것이나 괜찮다,anything is okay
1035,,아무리,,no matter how,아무리 아이라고 해도,even if you are a child
1036,,아버님,,father,가족,family
1037,,아버지,,father,가족,family
1038,,아빠,,dad,가족,family
1039,,아이,,child,어른,Adult
1040,,아이스크림,,ice cream,아이스크림을 먹다,eat ice cream
1041,,아저씨,,mister,아주머니,madam
1042,,아주,,very,아주 쉽다,very easy
1043,,아주머니,,old lady,아저씨,mister
1044,,아줌마,,madam,아주머니,madam
1045,,아직,,yet,아직 없다,not yet
1046,,아침,,morning,아침이 되다,morning comes
1047,,아파트,,apartment,아파트에 살다,live in an apartment
1048,,아프다,,sick,다리가 아프다,legs hurt
1049,,아홉,,nine,숫자,number
1050,,아흔,,ninety,숫자,number
1051,,악기,,musical instrument,악기를 연주하다,play an instrument
1052,,안,,inside,밖,outside
1053,,안,,not,안 춥다,It's not cold
1054,,안개,,fog,안개가 끼다,foggy
1055,,안경,,glasses,안경을 쓰다,wear glasses
1056,,안내,,information,관광 안내,tourist information
1057,,안내문,,notice,안내문을 받다,receive notice
1058,,안녕,,hi,친구야! 안녕.,friend! hi.
1059,,안녕히,,bye,안녕히 계세요,good bye
1060,,안다,,"hug, hold",아기를 안다,hug the baby
1061,,안되다,,not,공부가 안되다,can't study
1062,,안전,,safety,안전을 지키다,keep safe
1063,,안쪽,,inside,바깥쪽,outside
1064,,앉다,,sit,의자에 앉다,sit on a chair
1065,,알다,,know,사실을 알다,know the facts
1066,,알리다,,inform,사실을 알리다,inform the truth
1067,,알맞다,,fit,크기가 알맛다,The size is good
1068,,알아보다,,inquire,정보를 알아보다,find out information
1069,,앞,,front,앞으로 나가다,move forward
1070,,앞쪽,,front,앞쪽으로 향하다,head forward
1071,,애,,"child, kid",어른,adult
1072,,애인,,lover,연인,lover
1073,,앨범,,album,사진 앨범,photo album
1074,,야,,night,"야, 같이 가자","Hey, let's go together"
1075,,야구,,baseball,축구,soccer
1076,,야채,,vegetable,야채를 먹다,eat vegetables
1077,,약,,about,약 1시간,about 1 hour
1078,,약,,medicine,약을 먹다,take medicine
1079,,약간,,slightly,약간 크다,a bit big
1080,,약국,,pharmacy,약국에 가다,go to the pharmacy
1081,,약사,,pharmacist,약사가 되다,become a pharmacist
1082,,약속,,promise,약속을 지키다,keep a promise
1083,,약하다,,weak,힘이 약하다,have little strength
1084,,얇다,,thin,두께가 얇다,thickness is thin
1085,,양말,,socks,양말을 신다,wear socks
1086,,양복,,suit,양복을 입다,wear a suit
1087,,양식,,form,한식,Korean food
1088,,양식집,,Western food,양식집에 가다,go to a western food restaurant
1089,,양치질,,brushing teeth,양치질을 하다,brush one's teeth
1090,,얘기,,story,얘기를 들려주다,tell a story
1091,,어,,Oh,"어, 이게 뭐야?","Uh, what is this?"
1092,,어깨,,shoulder,신체,body
1093,,어느,,which,어느 나라,what country
1094,,어둡다,,dark,조명이 어둡다,the lighting is dark
1095,,어디,,where,어디예요?,where is it?
1096,,어떠하다,,how about,생각이 어떠하다,what do you think
1097,,어떤,,which,어떤 느낌,what feeling
1098,,어떻다,,how,마음이 어떻다,how do you feel?
1099,,어렵다,,difficult,문제가 어렵다,the problem is difficult
1100,,어른,,adult,어른이 되다,become an adult
