number,check,korean,hanja,japanese,english,example,translation
301,,남편,男便,夫,husband,아내,wife
302,,남학생,男學生,男学生,male student,여학생,female student
303,,낫다,,,"recover, be better",병이 낫다,get better
304,,낫다,,,better,더 낫다,much better
305,,낮,,,daytime,밤,night
306,,낮다,,,low,산이 낮다,the mountain is low
307,,낮잠,,,nap,낮잠을 자다,take a nap
308,,내,,,my,내가 했다,I did it
309,,내과,內科,内科,internal medicine,내과 병원,internal medical hospital
310,,내년,來年,来年,next year,내년 여름,next summer
311,,내다,,,"give, set",문제를 내다,give a question
312,,내려가다,,,go down,아래로 내려가다,go down
313,,내려오다,,,come down,아래로 내려오다,come down
314,,내리다,,,"get off, fall",비가 내리다,it's raining
315,,내용,內容,内容,content,수업 내용,class content
316,,내일,,,tomorrow,내일로 미루다,postpone until tomorrow
317,,냄비,,,pot,냄비에 끓이다,boil in a pot
318,,냄새,,,smell,냄새를 맡다,"smell, sniff"
319,,냉면,冷麵,冷麺,cold noodle,냉면을 먹다,eat cold noodles
320,,냉장고,冷藏庫,冷蔵庫,refrigerator,냉장고에 넣다,put in the refrigerator
321,,너,,,you,나,I
322,,너무,,,too,너무 심하다,pretty harsh
323,,너희,,,your,너희 가족,your family
324,,넓다,,,wide,집이 넓다,the house is spacious
325,,넘다,,,over,세 시간이 넘다,over three hours
326,,넘어지다,,,fall down,자전거가 넘머지다,the bike falls down
327,,넣다,,,"put, place, lay",책을 넣다,place a book
328,,네,,,you,네가,you
329,,네,,,four,숫자,number
330,,네,,,yes,대답,answer
331,,넥타이,,,necktie,넥타이를 매다,wear a necktie
332,,넷,,,four,숫자,number
333,,넷째,,,fourth,넷째 시간,fourth hour
334,,년,年,年,year,25년,25 years
335,,노란색,,,yellow color,색깔,color
336,,노랗다,,,yellow,병아리가 노랗다,chickens are yellow
337,,노래,,,song,노래를 부르다,sing a song
338,,노래방,,,karaoke,노래방에 가다,go to karaoke
339,,노력,努力,努力,effort,노력을 하다,make a effort
340,,노인,老人,老人,old man,노인을 공경하다,respect the elderly
341,,노트,,,note,노트에 쓰다,write in notebook
342,,녹색,綠色,緑色,green,색깔,color
343,,녹차,綠茶,緑茶,green tea,녹차를 마시다,drink green tea
344,,놀다,,,play,친구와 놀다,play with friends
345,,놀라다,,,surprised,깜짝 놀라다,to be surprised
346,,놀이,,,"play, game",인형 놀이,playing with dolls
347,,농구,籠球,籠球,basketball,농구 경기,basketball game
348,,농담,弄談,冗談,joke,농담을 주고받다,exchange jokes
349,,높다,,,high,산이 높다,mountain is high
350,,높이,,,height,높이가 높다,the height is high
351,,높이,,,"high, highly",높이 날다,fly high in the sky
352,,놓다,,,"put, lay down",펜을 놓다,put a pen down
353,,누구,,,who,거기 누구 계세요?,who's there?
354,,누나,,,sister,사촌 누나,my cousin sister
355,,누르다,,,press,버튼을 누르다,press the button
356,,눈,,,eye,눈이 작다,have small eyes
357,,눈,,,snow,날씨,weather
358,,눈물,,,tears,눈물이 흐르다,tears flow
359,,눕다,,,lie down,바닥에 눕다,lie on the floor
360,,뉴스,,,news,뉴스를 보다,watch the news
361,,느끼다,,,feel,추위를 느끼다,feel the cold
362,,느낌,,,feeling,느낌이 좋다,have a good feeling
363,,느리다,,,slow,걸음이 느리다,be slow in walking
364,,늘,,,"always, all the time",늘 만나다,always meet
365,,늘다,,,increase,면적이 늘다,increase in area
366,,늙다,,,old,사람이 늙다,a person is old
367,,능력,能力,能力,ability,능력이 있다,have capability
368,,늦다,,,late,시계가 늦다,the clock is late
369,,다,,,all,모두,all
370,,다녀오다,,,be back,학교에 다녀오다,go back to school
371,,다니다,,,to go,회사에 다니다,go to work
372,,다르다,,,different,모양이 다르다,the shape is different
373,,다른,,,different,다른 나라,other countries
374,,다리,,,leg,다리가 길다,have long legs
375,,다리,,,bridge,다리를 건너다,cross the brigde
376,,다림질,,,ironing,다림질을 하다,iron
377,,다섯,,,five,다섯 개,five (units)
378,,다섯째,,,fifth,다섯째 사람,fifth person
379,,다시,,,again,다시 시작하다,start again
380,,다양,多樣,多様,various,다양한 방법,various methods
381,,다음,,,next,다음 날,next day
382,,다음날,,,next day,다음날에 만나다,meet next day
383,,다이어트,,,diet,다이어트에 성공하다,succeed in dieting
384,,다치다,,,hurt,팔을 다치다,injure one's arm
385,,다하다,,,fulfill,기력이 다하다,run out of energy
386,,닦다,,,polish,구두를 닦다,polish shoes
387,,단순,單純,単純,simple,단순 노동,simple labor
388,,단어,單語,単語,word,단어를 외우다,memorize words
389,,단추,,,button,단추가 떨어지다,a button falls off
390,,단풍,丹楓,紅葉,autumn leaves,단풍이 들다,(leaves) turn red
391,,닫다,,,close,문을 닫다,close the door
392,,달,,,month,다음 달,next month
393,,달걀,,,egg,달걀을 삶다,boil an egg
394,,달다,,,sweet,맛이 달다,taste is sweet
395,,달력,,,calendar,달력을 걸다,hang a calendar
396,,달리기,,,running,달리기가 빠르다,ran fast
397,,달리다,,,run,빨리 달리다,ran fast
398,,닭,,,chicken,닭을 키우다,raise chickens
399,,닭고기,,,chicken meat,닭고기를 볶다,fry chicken
400,,닮다,,,resemble,아빠를 닮다,look like father
