number,check,korean,hanja,japanese,english,example,translation
1,,가게,家,家,store,가게에 가다,go to the store
2,,가격,價格,価格,price,가격이 비싸다,price is expensive
3,,가구,家具,家具,furniture,책상,a table
4,,가깝다,,,close,거리가 가깝다,the distance is close
5,,가끔,,,sometimes,가끔 보다,sometimes see
6,,가늘다,,,thin,손가락이 가늘다,fingers are thin
7,,가다,,,go,학교에 가다,go to school
8,,가득,,,full,가득 담다,fill something full
9,,가르치다,,,teach,한국어를 가르치다,teach Korean
10,,가리키다,,,point,손가락으로 가리키다,point with finger
11,,가방,,,bag,가방을 메다,carry a bag
12,,가볍다,,,light,짐이 가볍다,the load is light
13,,가수,歌手,歌手,singer,직업,job
14,,가슴,,,chest,신체,body
15,,가요,歌謠,歌謡,song,가요를 부르다,sing a song
16,,가운데,,,middle,가운데 자리,middle seat
17,,가위,,,scissor,가위로 자르다,cut using a scissor
18,,가을,,,autumn,계절,season
19,,가장,,,"most, best",가장 빠르다,fastest
20,,가져가다,,,take away,집에 가져가다,take sth/sb home
21,,가져오다,,,bring,학교로 가져오다,bring to school
22,,가족,家族,家族,family,식구,family member
23,,가지,,,"kind, sort",몇 가지,several kinds
24,,가지다,,,have,돈을 가지다,have money
25,,각각,各各,各各,each,각각 다르다,different from each other
26,,간단하다,簡單,簡単,simple,간단한 설명,brief explanation
27,,간단히,簡單,簡単,simply,간단히 끝내다,simply finish
28,,간식,間食,間食,snack,간식을 먹다,have a snack
29,,간장,간醬,醤油,soy sauce,간장을 넣다,add soy source
30,,간호사,看護師,看護師,nurse,간호가로 일하다,work as a nurse
31,,갈비,,,"rip, galbi",갈비를 먹다,eat galbi
32,,갈비탕,,,"galbitang, short rip soup",갈비탕을 먹다,eat galbitang
33,,갈색,褐色,褐色,brown,색깔,color
34,,갈아입다,,,change,옷을 갈아입다,change clothes
35,,갈아타다,,,transfer,기차를 갈아타다,transfer trains
36,,감,,,persimmon,과일,fruit
37,,감기,感氣,風邪,cold,감기에 걸리다,catch a cold
38,,감기약,感氣藥,風邪薬,cold medicine,감기약을 먹다,take cold medicine
39,,감다,,,close,눈을 감다,close eyes
40,,감다,,,wash,머리를 감다,wash one's hair
41,,감사,感謝,感謝,thanks,감사 인사,gratitude greeting
42,,감자,,,potato,채소,vegetable
43,,갑자기,,,suddenly,갑자기 나타나다,suddenly appear
44,,값,,,value,값을 깎다,cut/reduce the price
45,,강,江,川,river,강을 건너다,cross the river
46,,강아지,,,puppy,강아지를 키우다,raise a puppy
47,,강하다,,,strong,힘이 강하다,power/energy is strong
48,,갖다,,,have,돈을 갖다,have money
49,,같다,,,same,서로 같다,same as each other
50,,같이,,,together,같이 살다,live together
51,,갚다,,,pay back,돈을 갚다,pay back money
52,,개,,,dog,동물,animal
53,,개,,,(counting unit),사과 한 개,one apple
54,,개월,,,month,삼 개월,March
55,,거,,,thing,것,thing
56,,거기,,,there,거기에 있다,it's there
57,,거리,,,"street, road",거리로 나가다,take to the street
58,,거리,距離,距離,distance,거리가 가깝다,distance is close
59,,거실,居室,居室,living room,집,home
60,,거울,,,mirror,거울을 보다,look at a mirror
61,,거의,,,"almost, nearly",거의 없다,almost none
62,,거절,拒絶,拒絶,rejection,거절을 하다,refuse
63,,거짓말,,,lie,거짓말을 하다,lie; tell a lie
64,,걱정,,,worry,걱정이 되다,be worried
65,,건강,健康,健康,health,건강이 나빠지다,health becomes bad
66,,건너가다,,,cross over,길을 건너가다,cross the road
67,,건너다,,,cross,길을 건너다,cross the road
68,,건너편,,,other side,건너편으로 가다,go cross the street
69,,건물,建物,建物,building,건물을 짓다,build a building
70,,걷다,,,walk,길을 걷다,walk down the street
71,,걸다,,,hang,그림을 걸다,hang a picture
72,,걸리다,,,"be hung, catch",그림이 걸리다,take a picture
73,,걸어가다,,,walk,학교에 걸어가다,walk to school
74,,걸어오다,,,walk,집에 걸어오다,walk home
75,,걸음,,,step,걸음이 느리다,walk slowly
76,,검사,檢査,検査,inspection,숙제 검사,homework check
77,,검은색,,,black color,색깔,color
78,,검정,,,black,색깔,color
79,,것,,,thing,먹을 것,something to eat
80,,겉,,,outside,안과 겉,inside and outside
81,,게으르다,,,lazy,게으른 사람,a lazy person
82,,게임,,,game,컴퓨터 게임,computer game
83,,겨울,,,winter,계절,season
84,,결과,結果,結果,result,결과가 나오다,result comes out
85,,결석,缺席,欠席,absent,결석을 하다,be absent
86,,결심,決心,決心,determination,결심을 하다,make up one's mind
87,,결정,決定,決定,decision,결정을 내리다,make a decision
88,,결혼,結婚,結婚,marriage,결혼을 하다,get married
89,,결혼식,結婚式,結婚式,wedding ceremony,결혼식을 올리다,hold a wedding
90,,경기,競技,競技,match,경기를 보다,watch a game
91,,경찰,警察,警察,police,경찰 조사(기관),police investigation (agency)
92,,경찰서,警察署,警察署,police office,경찰서에 신고하다,report to the police
93,,경치,景色,景色,scenery; view,경치가 좋다,the view is nice
94,,경험,經驗,経験,experience,경험을 쌓다,gain experience
95,,계단,階段,階段,stairs,계단을 오르다,go up the stairs
96,,계란,鷄卵,鶏卵,egg,계란을 먹다,eat eggs
97,,계산,計算,計算,calculation,계산이 정확하다,calculation is correct
98,,계속,繼續,継続,continue,계속 달리다,keep running
99,,계시다,,,"be there, stay",한국에 계시다,be in Korea
100,,계절,季節,季節,season,계절이 바뀌다,seasons change
