number,check,korean,hanja,japanese,english,example,translation
1401,,잡채,雜菜,チャプチェ,Japchae (food),음식,food
1402,,장,張,枚,a sheet,한 장,one sheet
1403,,장갑,掌匣,手袋,gloves,장갑을 끼다,wear gloves
1404,,장난감,,,toy,장난감을 가지고 놀다,play with toys
1405,,장마,,,rainy season,장마가 오다,rainy season is coming
1406,,장미,薔薇,薔薇,rose,꽃,flower
1407,,장소,場所,場所,place,장소를 정하다,set a place
1408,,재료,材料,材料,material,재료를 준비하다,prepare materials
1409,,재미,,,fun,재미가 있다,have fun
1410,,재미없다,,,not interesting,이야기가 재미없다,the story is not interesting
1411,,재미있다,,,interesting,이야기가 재미있다,the story is interesting
1412,,재채기,,,sneeze,재채기가 나오다,have a sneeze
1413,,저,,,that,사람(1인칭),person (first person)
1414,,저,,,I,이도 저도,here and there
1415,,저,,,well,"저, 있잖아요.","Well, you know"
1416,,저거,,,that,저것,that
1417,,저것,,,that,−,−
1418,,저곳,,,over there,장소,location
1419,,저금,貯金,貯金,saving,저금을 하다,save money
1420,,저기,,,there,장소,location
1421,,저녁,,,dinner,저녁이 되다,evening comes
1422,,저런,,,that,그런,that
1423,,저렇다,,,like that,−,−
1424,,저번,,,last,저번 주,last week
1425,,저분,,,that person,이분,this person
1426,,저쪽,,,there,방향,direction
1427,,저희,,,us,저희 회사,our company
1428,,적다,,,write,이름을 적다,write down name
1429,,적다,,,less,양이 적다,the amount is small
1430,,적당하다,適當,適当,suitable,가격이 적당하다,the price is reasonable
1431,,전,全,全,all,전 세계,whole world
1432,,전,前,前,before,오래 전,a long time ago
1433,,전공,專攻,専攻,major,전공을 결정하다,decide on a major
1434,,전기,電氣,電気,electricity,전기가 끊기다,electricity is cut off
1435,,전부,全部,全部,all,전부 모이다,gather everything
1436,,전철,電鐵,電鉄,train,전철을 타다,take the train
1437,,전체,全體,全体,all,전체 국민,all people
1438,,전하다,傳,伝,"deliver, hand down",편지를 전하다,deliver a letter
1439,,전혀,全,全,at all,전혀 모르다,have no idea
1440,,전화,電話,電話,phone,전화를 걸다,make a call
1441,,전화기,電話機,電話機,cellphone,전화기가 울리다,the phone rings
1442,,전화번호,電話番號,電話番号,phone number,전화번호를 묻다,ask for phone number
1443,,젊다,,,young,나이가 젊다,be young
1444,,점수,點數,点数,score,점수가 높다,score is high
1445,,점심,點心,点心,lunch,점심에 만나다,meet at lunch
1446,,점심때,點心,点心,at lunch,점심때가 되다,It's time for lunch
1447,,점심시간,點心時間,点心時間,lunch time,점심시간이 되다,It's lunch time
1448,,점점,漸漸,漸漸,gradually,점점 추워지다,It's getting colder
1449,,접다,,,fold,종이를 접다,fold paper
1450,,접시,,,dish,접시에 담다,put on a plate
1451,,젓가락,,,chopsticks,젓가락을 쓰다,use chopsticks
1452,,정거장,停車場,停車場,"station, stop",버스 정거장,bus stop
1453,,정도,程度,程度,degree,어느 정도,some extent
1454,,정류장,停留場,停留場,"station, stop",버스 정류장,bus stop
1455,,정리,整理,整理,arrangement,책상 정리,organize the desk
1456,,정말,,,really,정말 좋다,really good
1457,,정문,正門,正門,front door,정문으로 다니다,go to the front door
1458,,정신없이,精神,精神,"hectically, frantically",정신없이 일하다,work frantically
1459,,정원,庭園,庭園,garden,정원을 가꾸다,grow a garden
1460,,정하다,定,定,decide,약속을 정하다,make an appointment
1461,,정형외과,整形外科,整形外科,orthopedics,정형외과에서 치료하다,treatment in orthopedics
1462,,정확,正確,正確,exactness,발음이 정확,pronunciation is correct
1463,,젖다,,,wet,옷이 젖다,clothes get wet
1464,,제,,,my,사람(1인칭),person (first person)
1465,,제목,題目,題目,title,제목을 짓다,make a title
1466,,제일,第一,第一,best,제일 좋아하다,like the most
1467,,제주도,濟州島,済州島,Jeju Island,지명,place name
1468,,조금,,,little,조금 먹다,eat a little
1469,,조금씩,,,gradually,조금씩 가다,go little by little
1470,,조심,操心,操心,be careful,운전 조심,drive carefully
1471,,조용하다,靜,静,quiet,집이 조용하다,the house is quiet
1472,,조용히,靜,静,quietly,조용히 말하다,speak quietly
1473,,조카,,,nephew,가족,family
1474,,졸다,,,sleep,깜빡 졸다,doze off
1475,,졸업,卒業,卒業,graduate,입학,admission
1476,,좀,,,little,좀 비싸다,a bit expensive
1477,,좁다,,,narrow,방이 좁다,the room is narrow
1478,,종류,種類,種類,type,종류가 다양하다,there are many types
1479,,종업원,從業員,従業員,"employee, worker",직업,job
1480,,종이,,,paper,종이에 쓰다,write on paper
1481,,좋다,,,good,날씨가 좋다,the weather is good
1482,,좋아하다,,,like,꽃을 좋아하다,(I) like flowers
1483,,죄송하다,罪悚,罪悚,sorry,마음이 죄송하다,feel sorry
1484,,주,週,週,week,이번 주,this week
1485,,주다,,,give,선물을 주다,give a gift
1486,,주로,主,主,mainly,주로 말하다,mainly speak
1487,,주말,週末,週末,weekend,주말을 보내다,spend the weekend
1488,,주머니,,,pocket,주머니에 넣다,put into the pocket
1489,,주무시다,,,(honorific) sleep,잠을 주무시다,sleep
1490,,주문,注文,注文,order,주문을 받다,receive an order
1491,,주변,周邊,周辺,"around, surrounding",주변 환경,surrounding environment
1492,,주부,主婦,主婦,housewife,주부로 살다,live as a housewife
1493,,주사,注射,注射,injection,주사를 맞다,get an injection
1494,,주소,住所,住所,address,주소를 적다,write down address
1495,,주스,,,juice,주스를 마시다,drink juice
1496,,주위,周圍,周囲,around,눈 주위,around the eyes
1497,,주인,主人,主人,master,가게 주인,shopkeeper
1498,,주일,週日,週日,week,이번 주일,this week
1499,,주차,駐車,駐車,parking,주차 위반,parking violation
1500,,주차장,駐車場,駐車場,parking lot,주차장에 세우다,park in a parking lot
