number,check,korean,japanese,english,example,translation
401,,담배,,"tobacco, cigar",담배를 피우다,smoke a cigarette
402,,답,答,answer,답이 없다,no answer
403,,답답하다,,stuffy,가슴이 답답하다,feel pressure (in one's heart)
404,,답장,返事,reply,답장을 보내다,send a reply
405,,대,,(unit of machines),차 한 대,one car
406,,대구,大邱,Daegu,대구에 살다,live in Daegu
407,,대답,返答,answer,대답을 기다리다,wait for an answer
408,,대부분,大部分,most,대부분의 시간,most of the time
409,,대사관,大使館,embassy,미국 대사관,US embassy
410,,대전,大田,Daejeon,지명,a place
411,,대학,大学,university,대학에 들어가다,enter colleage
412,,대학교,大学,university,대학교에 입학하다,enroll in a university
413,,대학생,大学生,college student,대학생이 되다,become a colleage student
414,,대학원,大学院,graduate school,대학원을 다니다,go to graduate school
415,,대화,対話,conversation,대화를 나누다,have a conversation
416,,대회,大会,competition,대회가 열리다,a contest is held
417,,댁,,home,선생님 댁,teacher's house
418,,더,,more,하나 더,one more
419,,더럽다,,dirty,손이 더럽다,hands are dirty
420,,더욱,,"more, even",더욱 좋다,even better
421,,덕분,,thanks,부모님 덕분,thanks to my parents
422,,던지다,,throw,공을 던지다,throw a ball
423,,덥다,,hot,날씨가 덥다,weather is hot
424,,데려가다,,take,아이를 데려가다,take a child
425,,데려오다,,bring,친구를 데려오다,bring a friend
426,,데이트,,date,데이트를 신청하다,ask for a date
427,,도,度,degree,영상 일 도,plus one degree
428,,도로,道路,road,도로를 건너다,cross the road
429,,도서관,図書館,library,도서관에서 공부하다,study in library
430,,도시,都市,city ​​,도시를 건설하다,build a city
431,,도와주다,,help,일을 도와주다,help with work
432,,도움,,help,도움을 받다,receive help
433,,도착,到着,arrival,도착 시간,arrival time
434,,독서,読書,reading,독서를 하다,read a book
435,,독일,ドイツ,Germany,나라,country
436,,돈,,money,돈을 벌다,earn money
437,,돈가스,,pork cutlet,돈가스를 먹다,eat pork cutlet
438,,돌,,stone,돌을 던지다,throw a stone
439,,돌다,,spin,바퀴가 돌다,spin a wheel
440,,돌려주다,,"give back, return",책을 돌려주다,return a book
441,,돌리다,,turn,바퀴를 돌리다,turn a wheel
442,,돌아가다,,"rotate, return",바퀴가 돌아가다,the wheel turns
443,,돌아오다,,come back,학교에서 돌아오다,come back from school
444,,돕다,,help,아버지를 돕다,help my father
445,,동네,,"town, local",동네 사람,local people
446,,동대문,東大門,Dong Dae Moon,고적,historical site
447,,동물,動物,animal,동물을 키우다,raise animals
448,,동물원,動物園,zoo,동물원에 가다,go to the zoo
449,,동생,弟,brother,동생이 태어나다,my young bother is born
450,,동시,同時,simultaneous,동시에 일어나다,happen at the same time
451,,동안,,while,며칠 동안,a few days
452,,동전,硬貨,coin,백 원짜리 동전,100 won coin
453,,동쪽,東,east,방향,direction
454,,돼지,,pig,돼지를 기르다,raise a pig
455,,돼지고기,,pork,돼지고기를 먹다,eat pork
456,,되다,,become,배우가 되다,become an actor
457,,-되다,,be (passive),취소되다,be cancelled
458,,된장,,soybean paste,된장에 찍다,dip in soybean paste
459,,된장찌개,,soybean paste stew,돤장찌개를 먹다,eat soybean paste stew
460,,두,,two,숫자,number
461,,두껍다,,thick,책이 두껍다,the book is thick
462,,두다,,put,책상 위에 두다,put on the table
463,,두부,,tofu,두부를 먹다,eat tofu
464,,두세,,two to three,두세 개,two to three
465,,두통,頭痛,headache,두통을 앓다,have a headache
466,,둘,,two,숫자,number
467,,둘째,,second,둘째 딸,second daughter
468,,뒤,,back,뒤에 있다,be in the back
469,,뒤쪽,,(direction) back,방향,direction
470,,드디어,,finally,드디어 끝나다,finally finish
471,,드라마,ドラマ,drama,드라마를 보다,watch a drama
472,,드리다,,give,용돈을 드리다,give some allowance
473,,듣다,,listen,음악을 듣다,listen to music
474,,들다,,cost,돈이 들다,cost money
475,,들다,,lift,가방을 들다,carry a bag
476,,들르다,,drop by,서점에 들르다,drop by a bookstore
477,,들리다,,hear,소리가 들리다,hear a sound
478,,들어가다,,enter,방으로 들어가다,enter a room
479,,들어오다,,come into,학교로 들어오다,come into school
480,,등,,(body) back,신체,body
481,,등산,登山,climbing,등산을 가다,go climbing
482,,디자인,デザイン,design,디자인이 예쁘다,the design is beautiful
483,,따뜻하다,,warm,방 안이 따뜻하다,(inside) the room is warm
484,,따로,,separately,따로 분리하다,separate
485,,딸,,daughter,아들,son
486,,딸기,,strawberry,과일,fruit
487,,땀,,sweat,땀이 나다,sweat comes out
488,,땅,,land,땅에 떨어지다,fall to the ground
489,,때,,when,어릴 때,when I was young
490,,떠나다,,leave,어디론가 떠나다,leave for somewhere
491,,떠들다,,talk,시끄럽게 떠들다,talk loudly
492,,떡,,rice cake,음식,food
493,,떡국,,Rice cake soup,음식,food
494,,떡볶이,,"Tteokbokki, rice cake",음식,food
495,,떨어지다,,"drop, fall",낭떠러지로 떨어지다,fall off a cliff
496,,또,,again,또 생기다,happen again
497,,또는,,or,남자 또는 여자,male or female
498,,똑같다,,same,모양이 똑같다,the shape is same
499,,똑같이,,same,똑같이 나누다,share equally
500,,똑똑하다,,smart,머리가 똑똑하다,be smart
